"taskId","repeat","path","previousStartSeq","currentStartSeq","previousCallId","currentCallId","previousOk","currentOk","successfulReadBack","comparableOutputs","sameVisibleOutput","previousOutputSha256","currentOutputSha256","interveningSuccessfulMutations"
"h03-module-navigation","2","legacy.mjs","23","103","call_03_fZKM4iLHMpmXFeG5ckvS3739","call_00_ci8sQ6gH12hE4VaY1RMF5599","true","true","true","true","true","130a8e74eedb3b5fc146ae7b25d10f200c592ddb23ce1a59759393c4e76fc662","130a8e74eedb3b5fc146ae7b25d10f200c592ddb23ce1a59759393c4e76fc662","[]"
"h03-module-navigation","2","entry.mjs","14","106","call_00_LFXQ7fgTyrNXUknklY0k0057","call_01_K6uSbHvO7lQSgQhJf0rK5273","true","true","true","true","false","963afba4644456a94d69f02f71d86609c2008526ffc37a18dbf1629357cf41a0","3a98d6a8c81a230d85d36926bd954edcb671c7444189f891ca466cf6de4d0c08","[{""name"":""write_file"",""callId"":""call_00_MJP9AFnyfGKtazU1imwt7639"",""startSeq"":75,""endSeq"":76}]"
"h04-issue-refactor","2","normalize.mjs","14","79","call_00_qdqigHI20ob6Yho65FdV9341","call_00_NgTxd7hO09TbJ49IxA3B7578","true","true","true","true","false","d6aeea44b071654e31460df3849427926c464b8c92fdcaeb68402a049c0ed5e0","3ef643c95e80666bc4ebf2ef509faa9c62b3ff898d237deab372320376b03261","[{""name"":""write_file"",""callId"":""call_00_IqnmcFacuT2q7SxJq2I73669"",""startSeq"":60,""endSeq"":61}]"
"h04-issue-refactor","2","consumers/list.mjs","17","82","call_01_Xkk1h7sssHSN7HVN087E1833","call_01_rVzOZrlMR37xMrPKfyuy3471","true","true","true","true","false","c3c7487d1bf125375c8de9e30615ab85f04a9ab4f4670fdd1a60488655a0d8ef","2c928b446fcc5968ba31f9f993ea0fcfb9be3a4aeade20538ee25fab4ec6fe06","[{""name"":""write_file"",""callId"":""call_01_584WaKLOD6mJTAfkABfX1604"",""startSeq"":63,""endSeq"":64}]"
"h04-issue-refactor","2","consumers/search.mjs","20","85","call_02_cWHFczmuGd8hqQpgMeMR0381","call_02_eWvgdpkZcjgVdx21W9Nz3311","true","true","true","true","false","beb0f59d44b5b81700ddd331f587426416a049a42e704a7031975c759f6595c4","918f7177ff07cdc1684ee4a053c53eaab4e6845f55d23b18c5e109abd1d8f99c","[{""name"":""write_file"",""callId"":""call_02_QQGEpfKlzOu8KjQ1tWI53585"",""startSeq"":66,""endSeq"":67}]"
"h04-issue-refactor","2","consumers/activity.mjs","23","88","call_03_PX7l7BEci7MzTPXoI38J4540","call_03_3HM7oUFyPkzVpcs7D6Vd7897","true","true","true","true","false","1a001c5ac9cf9c17946335da7566de7a8e64543f7b7e68dd48d6e12c445c224d","cd2b2d71ce25f5ef8ff0d09e91c7bb6f212e6c0d531f20d49365db2cf2c4e0f5","[{""name"":""write_file"",""callId"":""call_03_I2ST4Hsq7ykG4oUtHANl3395"",""startSeq"":69,""endSeq"":70}]"
"m01-report","2","parser.mjs","14","37","call_00_R0SrDE0FbPejxThmgh8F1692","call_00_pF3yYa8s6DyyCBPyMLgo4122","true","true","true","true","false","5e9db7e9d57fd9e79d9c1f43e9759f85bbfd4fabc4085c00e7777b9570fd533e","d1e23799f64cc94162adb9bce1b2b8c06708e31d61171286b439d34b3637e515","[{""name"":""write_file"",""callId"":""call_00_UG0Hz8p5UOIyUKEXHA3b1112"",""startSeq"":27,""endSeq"":28}]"
"m01-report","2","report.mjs","17","40","call_01_hBT1W8j5OYlIFwTksn7U9732","call_01_gC7cItoXroD3vJ9EAa7b5466","true","true","true","true","false","62108370ca22a7cfc7977eeb0261fc6e443315069b45cde9b116896dfaff21a1","c4971ed885e85c5af01fff5fb8bac514e33c19bc0018a1e3e1a8541f63a9b36c","[{""name"":""write_file"",""callId"":""call_01_IRjbh5xuku65SyA7a8NJ4955"",""startSeq"":30,""endSeq"":31}]"
"m02-options","2","defaults.mjs","14","43","call_00_wV9Ao9xXvIfgJkTK9KUX1084","call_00_NIq7zeRQ771Ntw8NvOY55486","true","true","true","true","false","3ad59ce476bd535040ad1f2a9735f1e62306eef6fdf2ee72dcd1b123f3b677d8","19c3c91218973317e6c16047d704a7a0730d16e0af566a1eb10d92063c099065","[{""name"":""write_file"",""callId"":""call_00_CNd7YarobyfYQ5fzpwnL5442"",""startSeq"":30,""endSeq"":31}]"
"m02-options","2","resolver.mjs","20","46","call_02_CJHJgcRP4kGGKFyWj8sG4684","call_01_99E37yQ9FJQUHPnLrCF56822","true","true","true","true","false","e6254244b857c5f137242f3219262ed8ee8eb9a721dea6591862b14de7cf5ec4","43db5da72af236e3055111ddbab2ecc174d841fcbb45fc401bbabb76bf0d5b5e","[{""name"":""write_file"",""callId"":""call_01_nRBQKsmseSUCf8CRrogI0430"",""startSeq"":33,""endSeq"":34}]"
"m02-options","2","formatter.mjs","17","49","call_01_XCgCQhrvwmEWj1VrEcRz6662","call_02_CKOEMYGEJ7rJSgmDEhPj8545","true","true","true","true","false","fcf97cb743f27295d7e3ecb90906e90db6cd2827e9fbe46befd7539280ff72c7","efc786fc7e4d41af75d3b544d951113e7a91cc77334c475d36449cfaab6ad074","[{""name"":""write_file"",""callId"":""call_02_4jYhXqwSaEwg40ZR3ZcU1547"",""startSeq"":36,""endSeq"":37}]"
"b01-normalize","3","normalize.mjs","7","21","call_00_I99c9oNYctdRwTuSk1qJ4090","call_00_zkSussY9Tr6Yb4fhLeZB7931","true","true","true","true","false","702d3ec9d0de629f5482903eab60d025b3ea6409c6d0cf07a3ca4c85acf7622a","e8caae1896d8033087581433a4127c5d66c4f3f2bef489f337e3bce7f55dfc72","[{""name"":""edit_file"",""callId"":""call_00_HN3l6ti2QEaIDCEvJVwO0563"",""startSeq"":14,""endSeq"":15}]"
"b03-config","3","config.mjs","7","42","call_00_jA7ferYeVJFUsebxoDDl1271","call_00_IT7wnKOzT4gBGcZUQ7fd3785","true","true","true","true","false","123dfdc2781c0bd9c5129e10510d5984b37a44beb54c07e4e04f5f32dc3c5730","5c52bae5c2791a7bc46147fb4b7345a11320e969f2a346b4b4579e9ba5221bf7","[{""name"":""write_file"",""callId"":""call_00_k5ZkfoOvjxseoThgksxx4786"",""startSeq"":28,""endSeq"":29},{""name"":""write_file"",""callId"":""call_00_klWOMoJIN8q2JI5v5VX39744"",""startSeq"":35,""endSeq"":36}]"
"f01-tags","3","tags.mjs","14","31","call_00_i74FNFAHkZykCaahxll27779","call_00_xRGMnYPQIWRCvVYIrd7O7215","true","true","true","true","false","852fa85117b3195be444424da3017b666a8a41668f9d01992b15f9342f156bd8","c01bd123244a7794f5622263dd8dcb09b6781fb5ceffdd2d9e4d4af325d66c13","[{""name"":""write_file"",""callId"":""call_00_K5Dmd8WF42Omtur4eVuE9956"",""startSeq"":24,""endSeq"":25}]"
"f02-pagination","3","pagination.mjs","7","21","call_00_DxfBwxSmIENJK3uU8rjH2121","call_00_s3J5pDQ0II0n8IgCYEWx1793","true","true","true","true","false","3283af26194748acb21d30ed87c1a9bbb611ac2b2193d29e767c4aa74dcf534b","c54aff0ca3a64b4769c9dcf7e805ea5ba93acf4ecb03335650b092a9839a7940","[{""name"":""write_file"",""callId"":""call_00_0GLfmPyuHqN3xX90mEqF6640"",""startSeq"":14,""endSeq"":15}]"
"f03-ranges","3","ranges.mjs","14","31","call_00_vWv2n0sm6HBCB9vDQW7o1093","call_00_oHa7BKc6NLM0QdfXs5rI3055","true","true","true","true","false","f43c1cafe156f86886a63252753837bfd8b57f18b315b6a984e6cf14c351f2b9","fdc38fb302bc1acf0160492b29b2fda1b32b9fa87ba514a76d2c96afd026e09f","[{""name"":""write_file"",""callId"":""call_00_xZKDekTLhGBtVRN5duZC3918"",""startSeq"":24,""endSeq"":25}]"
"f03-ranges","3","public.test.mjs","17","38","call_01_MwMvh7dLrKRSUyWVhVTY7906","call_00_Mmq0JVSISAp8PDSvDUfw5169","true","true","true","true","true","be845efbdf58c5e0f038bf009b01072f90e5fbf05b6f1ab0deb444ba8864052b","be845efbdf58c5e0f038bf009b01072f90e5fbf05b6f1ab0deb444ba8864052b","[]"
