"taskId","variant","repeat","name","canonicalArguments","occurrences","repeats","startSeqs","dispatchedStartSeqs"
"h01-config-pipeline","full","1","read_file","{""path"":""src/format.mjs""}","2","1","[41,125]","[41,125]"
"h01-config-pipeline","full","1","read_file","{""path"":""src/legacy.mjs""}","2","1","[44,122]","[44,122]"
"h01-config-pipeline","baseline","1","list_files","{""path"":"".""}","2","1","[7,109]","[7,109]"
"h01-config-pipeline","baseline","1","read_file","{""path"":""src/index.mjs""}","2","1","[14,85]","[14,85]"
"h01-config-pipeline","baseline","1","read_file","{""path"":""src/defaults.mjs""}","2","1","[17,121]","[17]"
"h01-config-pipeline","baseline","1","read_file","{""path"":""src/env-config.mjs""}","2","1","[20,99]","[20,99]"
"h01-config-pipeline","baseline","1","read_file","{""path"":""src/file-config.mjs""}","2","1","[23,82]","[23,82]"
"h01-config-pipeline","baseline","1","read_file","{""path"":""src/format.mjs""}","2","1","[26,116]","[26,116]"
"h01-config-pipeline","baseline","1","read_file","{""path"":""src/legacy.mjs""}","2","1","[29,119]","[29]"
"h01-config-pipeline","baseline","1","read_file","{""path"":""src/merge.mjs""}","2","1","[32,92]","[32,92]"
"h01-config-pipeline","baseline","1","read_file","{""path"":""src/validate.mjs""}","2","1","[35,102]","[35,102]"
"h01-config-pipeline","context","1","list_files","{""path"":"".""}","2","1","[7,99]","[7,99]"
"h01-config-pipeline","context","1","read_file","{""path"":""src/index.mjs""}","2","1","[14,109]","[14,109]"
"h01-config-pipeline","context","1","read_file","{""path"":""public.test.mjs""}","2","1","[17,122]","[17]"
"h01-config-pipeline","context","1","read_file","{""path"":""src/defaults.mjs""}","2","1","[20,115]","[20,115]"
"h01-config-pipeline","context","1","read_file","{""path"":""src/env-config.mjs""}","2","1","[23,112]","[23,112]"
"h01-config-pipeline","context","1","read_file","{""path"":""src/format.mjs""}","2","1","[29,118]","[29]"
"h01-config-pipeline","context","1","read_file","{""path"":""src/legacy.mjs""}","2","1","[32,120]","[32]"
"h01-config-pipeline","context","1","read_file","{""path"":""src/merge.mjs""}","2","1","[35,89]","[35,89]"
"h01-config-pipeline","context","1","read_file","{""path"":""src/validate.mjs""}","2","1","[38,92]","[38,92]"
"h02-chunk-parser","full","1","list_files","{""path"":"".""}","2","1","[9,124]","[9,124]"
"h02-chunk-parser","full","1","read_file","{""path"":""src/index.mjs""}","2","1","[16,85]","[16,85]"
"h02-chunk-parser","full","1","read_file","{""path"":""public.test.mjs""}","2","1","[19,134]","[19]"
"h02-chunk-parser","full","1","read_file","{""path"":""src/tokenizer.mjs""}","2","1","[26,92]","[26,92]"
"h02-chunk-parser","full","1","read_file","{""path"":""src/consumers/read-items.mjs""}","2","1","[29,95]","[29,95]"
"h02-chunk-parser","full","1","read_file","{""path"":""src/consumers/count-items.mjs""}","2","1","[32,98]","[32,98]"
"h02-chunk-parser","full","1","read_file","{""path"":""src/state.mjs""}","2","1","[39,136]","[39]"
"h02-chunk-parser","full","1","read_file","{""path"":""src/assembler.mjs""}","2","1","[42,108]","[42,108]"
"h02-chunk-parser","full","1","read_file","{""path"":""src/item-schema.mjs""}","2","1","[45,111]","[45,111]"
"h02-chunk-parser","full","1","read_file","{""path"":""src/line.mjs""}","2","1","[52,117]","[52,117]"
"h02-chunk-parser","full","1","read_file","{""path"":""src/escape.mjs""}","2","1","[55,114]","[55,114]"
"h03-module-navigation","baseline","1","list_files","{""path"":"".""}","2","1","[7,89]","[7,89]"
"h03-module-navigation","baseline","1","read_file","{""path"":""entry.mjs""}","2","1","[14,99]","[14,99]"
"h03-module-navigation","baseline","1","read_file","{""path"":""registry.mjs""}","2","1","[17,82]","[17,82]"
"h03-module-navigation","baseline","1","read_file","{""path"":""legacy.mjs""}","2","1","[23,96]","[23,96]"
"h03-module-navigation","context","1","list_files","{""path"":"".""}","2","1","[7,89]","[7,89]"
"h03-module-navigation","context","1","read_file","{""path"":""entry.mjs""}","2","1","[14,99]","[14,99]"
"h03-module-navigation","context","1","read_file","{""path"":""registry.mjs""}","2","1","[17,102]","[17,102]"
"h03-module-navigation","context","1","read_file","{""path"":""legacy.mjs""}","2","1","[23,96]","[23,96]"
"h03-module-navigation","context","1","read_file","{""path"":""routes/dynamic.mjs""}","2","1","[33,82]","[33,82]"
"h03-module-navigation","optimizer","1","list_files","{""path"":"".""}","2","1","[9,94]","[9,94]"
"h03-module-navigation","optimizer","1","read_file","{""path"":""entry.mjs""}","3","2","[16,84,108]","[16,84,108]"
"h03-module-navigation","optimizer","1","read_file","{""path"":""legacy.mjs""}","2","1","[22,101]","[22,101]"
"h03-module-navigation","optimizer","1","read_file","{""path"":""registry.mjs""}","3","2","[25,87,111]","[25,87,111]"
"h03-module-navigation","full","1","list_files","{""path"":"".""}","2","1","[9,94]","[9,94]"
"h03-module-navigation","full","1","read_file","{""path"":""entry.mjs""}","2","1","[16,84]","[16,84]"
"h03-module-navigation","full","1","read_file","{""path"":""fixtures/routes.mjs""}","2","1","[19,104]","[19,104]"
"h03-module-navigation","full","1","read_file","{""path"":""legacy.mjs""}","2","1","[22,101]","[22,101]"
"h03-module-navigation","full","1","read_file","{""path"":""registry.mjs""}","2","1","[25,87]","[25,87]"
"h03-module-navigation","full","1","read_file","{""path"":""routes/static.mjs""}","2","1","[32,114]","[32,114]"
"h03-module-navigation","full","1","read_file","{""path"":""routes/dynamic.mjs""}","2","1","[35,117]","[35,117]"
"h03-module-navigation","full","1","read_file","{""path"":""routes/fallback.mjs""}","2","1","[38,120]","[38]"
"h04-issue-refactor","context","1","read_file","{""path"":""normalize.mjs""}","2","1","[14,95]","[14,95]"
"h04-issue-refactor","context","1","read_file","{""path"":""consumers/list.mjs""}","2","1","[20,98]","[20,98]"
"h04-issue-refactor","context","1","read_file","{""path"":""consumers/search.mjs""}","2","1","[23,101]","[23,101]"
"h04-issue-refactor","context","1","read_file","{""path"":""consumers/activity.mjs""}","2","1","[26,104]","[26,104]"
"h04-issue-refactor","context","1","read_file","{""path"":""serialize.mjs""}","2","1","[29,107]","[29]"
"h04-issue-refactor","optimizer","1","read_file","{""path"":""normalize.mjs""}","2","1","[16,85]","[16,85]"
"h04-issue-refactor","optimizer","1","read_file","{""path"":""consumers/list.mjs""}","2","1","[19,88]","[19,88]"
"h04-issue-refactor","optimizer","1","read_file","{""path"":""consumers/search.mjs""}","2","1","[22,91]","[22,91]"
"h04-issue-refactor","optimizer","1","read_file","{""path"":""consumers/activity.mjs""}","2","1","[25,94]","[25,94]"
"h04-issue-refactor","optimizer","1","read_file","{""path"":""serialize.mjs""}","2","1","[28,97]","[28]"
"h04-issue-refactor","full","1","read_file","{""path"":""normalize.mjs""}","2","1","[16,97]","[16,97]"
"h04-issue-refactor","full","1","read_file","{""path"":""consumers/list.mjs""}","2","1","[22,100]","[22,100]"
"h04-issue-refactor","full","1","read_file","{""path"":""consumers/search.mjs""}","2","1","[25,103]","[25,103]"
"h04-issue-refactor","full","1","read_file","{""path"":""consumers/activity.mjs""}","2","1","[28,106]","[28,106]"
"h04-issue-refactor","full","1","read_file","{""path"":""serialize.mjs""}","2","1","[31,109]","[31]"
"h04-issue-refactor","baseline","1","read_file","{""path"":""normalize.mjs""}","2","1","[14,79]","[14,79]"
"h04-issue-refactor","baseline","1","read_file","{""path"":""consumers/list.mjs""}","2","1","[17,82]","[17,82]"
"h04-issue-refactor","baseline","1","read_file","{""path"":""consumers/search.mjs""}","2","1","[20,85]","[20,85]"
"h04-issue-refactor","baseline","1","read_file","{""path"":""consumers/activity.mjs""}","2","1","[23,88]","[23,88]"
"h04-issue-refactor","baseline","1","read_file","{""path"":""serialize.mjs""}","2","1","[26,91]","[26]"
"m01-report","optimizer","1","list_files","{""path"":"".""}","2","1","[9,49]","[9,49]"
"m01-report","optimizer","1","read_file","{""path"":""parser.mjs""}","2","1","[16,39]","[16,39]"
"m01-report","optimizer","1","read_file","{""path"":""report.mjs""}","2","1","[19,42]","[19,42]"
"m01-report","full","1","list_files","{""path"":"".""}","2","1","[9,46]","[9,46]"
"m01-report","full","1","read_file","{""path"":""report.mjs""}","2","1","[19,39]","[19,39]"
"m01-report","baseline","1","list_files","{""path"":"".""}","2","1","[7,47]","[7,47]"
"m01-report","baseline","1","read_file","{""path"":""parser.mjs""}","3","2","[14,37,61]","[14,37,61]"
"m01-report","baseline","1","read_file","{""path"":""report.mjs""}","2","1","[17,40]","[17,40]"
"m01-report","context","1","list_files","{""path"":"".""}","2","1","[7,54]","[7,54]"
"m01-report","context","1","read_file","{""path"":""parser.mjs""}","2","1","[14,37]","[14,37]"
"m01-report","context","1","read_file","{""path"":""report.mjs""}","2","1","[17,40]","[17,40]"
"m02-options","full","1","read_file","{""path"":""defaults.mjs""}","2","1","[16,66]","[16,66]"
"m02-options","full","1","read_file","{""path"":""resolver.mjs""}","2","1","[19,60]","[19,60]"
"m02-options","full","1","read_file","{""path"":""formatter.mjs""}","2","1","[22,63]","[22,63]"
"m02-options","full","1","read_file","{""path"":""public.test.mjs""}","2","1","[25,53]","[25,53]"
"m02-options","baseline","1","list_files","{""path"":"".""}","2","1","[7,56]","[7,56]"
"m02-options","baseline","1","read_file","{""path"":""defaults.mjs""}","2","1","[14,49]","[14,49]"
"m02-options","baseline","1","read_file","{""path"":""formatter.mjs""}","2","1","[17,46]","[17,46]"
"m02-options","baseline","1","read_file","{""path"":""resolver.mjs""}","2","1","[20,43]","[20,43]"
"m02-options","context","1","read_file","{""path"":""defaults.mjs""}","2","1","[14,43]","[14,43]"
"m02-options","context","1","read_file","{""path"":""formatter.mjs""}","2","1","[17,49]","[17,49]"
"m02-options","context","1","read_file","{""path"":""resolver.mjs""}","2","1","[20,46]","[20,46]"
"m02-options","optimizer","1","list_files","{""path"":"".""}","2","1","[9,45]","[9,45]"
"m02-options","optimizer","1","read_file","{""path"":""defaults.mjs""}","2","1","[16,58]","[16,58]"
"m02-options","optimizer","1","read_file","{""path"":""resolver.mjs""}","2","1","[19,52]","[19,52]"
"m02-options","optimizer","1","read_file","{""path"":""formatter.mjs""}","2","1","[22,55]","[22,55]"
"b01-normalize","context","2","read_file","{""path"":""normalize.mjs""}","2","1","[7,35]","[7,35]"
"b01-normalize","optimizer","2","read_file","{""path"":""normalize.mjs""}","2","1","[9,23]","[9,23]"
"b01-normalize","full","2","read_file","{""path"":""normalize.mjs""}","2","1","[9,23]","[9,23]"
"b01-normalize","baseline","2","read_file","{""path"":""normalize.mjs""}","2","1","[7,35]","[7,35]"
"b02-counter","context","2","list_files","{""path"":"".""}","2","1","[7,38]","[7,38]"
"b02-counter","context","2","read_file","{""path"":""counter.mjs""}","2","1","[14,31]","[14,31]"
"b03-config","full","2","list_files","{""path"":"".""}","2","1","[9,61]","[9,61]"
"b03-config","full","2","read_file","{""path"":""config.mjs""}","3","2","[16,33,82]","[16,33,82]"
"b03-config","full","2","write_file","{""content"":""function isPlainObject(value) {\n  if (value === null || typeof value !== 'object' || Array.isArray(value)) {\n    return false;\n  }\n  const proto = Object.getPrototypeOf(value);\n  return proto === Object.prototype || proto === null;\n}\n\nfunction isPrimitive(value) {\n  return value === null\n    || typeof value === 'string'\n    || typeof value === 'number'\n    || typeof value === 'boolean';\n}\n\nfunction isNestedObject(value) {\n  if (!isPlainObject(value)) {\n    return false;\n  }\n  for (const key of Object.keys(value)) {\n    if (!isPrimitive(value[key])) {\n      return false;\n    }\n  }\n  return true;\n}\n\nfunction assertConfig(value, name) {\n  if (!isPlainObject(value)) {\n    throw new TypeError(`${name} must be a non-null, non-array plain object`);\n  }\n}\n\n// Define an own enumerable data property, so keys like \""__proto__\"" are\n// treated as ordinary data keys rather than triggering the prototype setter.\nfunction setKey(target, key, value) {\n  Object.defineProperty(target, key, {\n    value,\n    writable: true,\n    enumerable: true,\n    configurable: true,\n  });\n}\n\nfunction copyNested(source) {\n  const result = {};\n  for (const key of Object.keys(source)) {\n    setKey(result, key, source[key]);\n  }\n  return result;\n}\n\nexport function mergeConfig(defaults, overrides = {}) {\n  assertConfig(defaults, 'defaults');\n  assertConfig(overrides, 'overrides');\n\n  const result = {};\n\n  for (const key of Object.keys(defaults)) {\n    const value = defaults[key];\n    if (isNestedObject(value)) {\n      setKey(result, key, copyNested(value));\n    } else {\n      setKey(result, key, value);\n    }\n  }\n\n  for (const key of Object.keys(overrides)) {\n    const overrideValue = overrides[key];\n    const hasDefault = Object.prototype.hasOwnProperty.call(result, key);\n    const defaultValue = hasDefault ? result[key] : undefined;\n\n    if (isNestedObject(overrideValue) && hasDefault && isNestedObject(defaultValue)) {\n      const merged = copyNested(defaultValue);\n      for (const nestedKey of Object.keys(overrideValue)) {\n        setKey(merged, nestedKey, overrideValue[nestedKey]);\n      }\n      setKey(result, key, merged);\n    } else if (isNestedObject(overrideValue)) {\n      setKey(result, key, copyNested(overrideValue));\n    } else {\n      setKey(result, key, overrideValue);\n    }\n  }\n\n  return result;\n}\n"",""path"":""config.mjs""}","2","1","[26,75]","[26,75]"
"b03-config","baseline","2","read_file","{""path"":""config.mjs""}","3","2","[7,35,49]","[7,35,49]"
"b03-config","context","2","read_file","{""path"":""config.mjs""}","3","2","[7,35,56]","[7,35,56]"
"b03-config","context","2","read_file","{""path"":""public.test.mjs""}","2","1","[21,63]","[21,63]"
"b03-config","optimizer","2","list_files","{""path"":"".""}","2","1","[9,61]","[9,61]"
"b03-config","optimizer","2","read_file","{""path"":""config.mjs""}","4","3","[16,33,68,82]","[16,33,68,82]"
"f01-tags","baseline","2","list_files","{""path"":"".""}","2","1","[7,38]","[7,38]"
"f01-tags","baseline","2","read_file","{""path"":""tags.mjs""}","2","1","[14,31]","[14,31]"
"f01-tags","context","2","list_files","{""path"":"".""}","2","1","[7,38]","[7,38]"
"f01-tags","context","2","read_file","{""path"":""tags.mjs""}","2","1","[14,31]","[14,31]"
"f01-tags","optimizer","2","read_file","{""path"":""tags.mjs""}","2","1","[16,33]","[16,33]"
"f01-tags","full","2","read_file","{""path"":""tags.mjs""}","2","1","[16,33]","[16,33]"
"f02-pagination","context","2","read_file","{""path"":""pagination.mjs""}","2","1","[7,21]","[7,21]"
"f02-pagination","baseline","2","read_file","{""path"":""pagination.mjs""}","2","1","[7,21]","[7,21]"
"f03-ranges","optimizer","2","list_files","{""path"":"".""}","2","1","[9,47]","[9,47]"
"f03-ranges","optimizer","2","read_file","{""path"":""ranges.mjs""}","2","1","[16,33]","[16,33]"
"f03-ranges","full","2","list_files","{""path"":"".""}","2","1","[9,47]","[9,47]"
"f03-ranges","full","2","read_file","{""path"":""ranges.mjs""}","2","1","[16,33]","[16,33]"
"f03-ranges","baseline","2","read_file","{""path"":""ranges.mjs""}","2","1","[7,21]","[7,21]"
"f03-ranges","context","2","read_file","{""path"":""ranges.mjs""}","2","1","[14,31]","[14,31]"
"h01-config-pipeline","full","2","read_file","{""path"":""src/index.mjs""}","2","1","[16,85]","[16,85]"
"h01-config-pipeline","full","2","read_file","{""path"":""src/defaults.mjs""}","2","1","[26,128]","[26]"
"h01-config-pipeline","full","2","read_file","{""path"":""src/file-config.mjs""}","2","1","[29,119]","[29,119]"
"h01-config-pipeline","full","2","read_file","{""path"":""src/env-config.mjs""}","2","1","[32,106]","[32,106]"
"h01-config-pipeline","full","2","read_file","{""path"":""src/merge.mjs""}","2","1","[35,92]","[35,92]"
"h01-config-pipeline","full","2","read_file","{""path"":""src/validate.mjs""}","2","1","[38,109]","[38,109]"
"h01-config-pipeline","full","2","read_file","{""path"":""src/format.mjs""}","2","1","[41,122]","[41,122]"
"h01-config-pipeline","full","2","read_file","{""path"":""src/legacy.mjs""}","2","1","[44,125]","[44,125]"
"h01-config-pipeline","baseline","2","list_files","{""path"":"".""}","2","1","[7,127]","[7]"
"h01-config-pipeline","baseline","2","read_file","{""path"":""src/env-config.mjs""}","2","1","[20,117]","[20,117]"
"h01-config-pipeline","baseline","2","read_file","{""path"":""src/merge.mjs""}","2","1","[32,114]","[32,114]"
"h01-config-pipeline","baseline","2","read_file","{""path"":""src/validate.mjs""}","2","1","[35,120]","[35,120]"
"h01-config-pipeline","context","2","read_file","{""path"":""src/defaults.mjs""}","2","1","[20,102]","[20,102]"
"h01-config-pipeline","context","2","read_file","{""path"":""src/env-config.mjs""}","2","1","[23,114]","[23]"
"h01-config-pipeline","context","2","read_file","{""path"":""src/file-config.mjs""}","2","1","[26,116]","[26]"
"h01-config-pipeline","context","2","read_file","{""path"":""src/format.mjs""}","2","1","[29,108]","[29,108]"
"h01-config-pipeline","context","2","read_file","{""path"":""src/legacy.mjs""}","2","1","[32,111]","[32,111]"
"h01-config-pipeline","context","2","read_file","{""path"":""src/validate.mjs""}","2","1","[38,105]","[38,105]"
"h01-config-pipeline","optimizer","2","list_files","{""path"":"".""}","2","1","[9,119]","[9,119]"
"h01-config-pipeline","optimizer","2","read_file","{""path"":""src/index.mjs""}","2","1","[16,85]","[16,85]"
"h01-config-pipeline","optimizer","2","read_file","{""path"":""public.test.mjs""}","2","1","[19,112]","[19,112]"
"h01-config-pipeline","optimizer","2","read_file","{""path"":""src/file-config.mjs""}","2","1","[29,133]","[29]"
"h01-config-pipeline","optimizer","2","read_file","{""path"":""src/env-config.mjs""}","3","2","[32,95,129]","[32,95]"
"h01-config-pipeline","optimizer","2","read_file","{""path"":""src/merge.mjs""}","3","2","[35,92,126]","[35,92,126]"
"h01-config-pipeline","optimizer","2","read_file","{""path"":""src/validate.mjs""}","3","2","[38,98,131]","[38,98]"
"h02-chunk-parser","baseline","2","read_file","{""path"":""src/index.mjs""}","2","1","[10,112]","[10,112]"
"h02-chunk-parser","baseline","2","read_file","{""path"":""src/tokenizer.mjs""}","2","1","[17,75]","[17,75]"
"h02-chunk-parser","baseline","2","read_file","{""path"":""src/assembler.mjs""}","2","1","[20,78]","[20,78]"
"h02-chunk-parser","baseline","2","read_file","{""path"":""src/state.mjs""}","2","1","[23,95]","[23,95]"
"h02-chunk-parser","baseline","2","read_file","{""path"":""src/line.mjs""}","3","2","[26,54,92]","[26,54,92]"
"h02-chunk-parser","baseline","2","read_file","{""path"":""src/escape.mjs""}","2","1","[29,121]","[29]"
"h02-chunk-parser","baseline","2","read_file","{""path"":""src/item-schema.mjs""}","2","1","[32,119]","[32]"
"h02-chunk-parser","baseline","2","read_file","{""path"":""src/consumers/read-items.mjs""}","2","1","[35,115]","[35]"
"h02-chunk-parser","baseline","2","read_file","{""path"":""src/consumers/count-items.mjs""}","2","1","[38,117]","[38]"
"h02-chunk-parser","baseline","2","read_file","{""path"":""public.test.mjs""}","2","1","[47,85]","[47,85]"
"h02-chunk-parser","baseline","2","list_files","{""path"":""src""}","2","1","[68,109]","[68,109]"
"h03-module-navigation","context","2","list_files","{""path"":"".""}","2","1","[7,89]","[7,89]"
"h03-module-navigation","context","2","read_file","{""path"":""entry.mjs""}","2","1","[14,99]","[14,99]"
"h03-module-navigation","context","2","read_file","{""path"":""registry.mjs""}","2","1","[17,102]","[17,102]"
"h03-module-navigation","context","2","read_file","{""path"":""legacy.mjs""}","2","1","[23,96]","[23,96]"
"h03-module-navigation","context","2","read_file","{""path"":""routes/dynamic.mjs""}","2","1","[33,82]","[33,82]"
"h03-module-navigation","optimizer","2","list_files","{""path"":"".""}","3","2","[9,84,101]","[9,84,101]"
"h03-module-navigation","optimizer","2","read_file","{""path"":""entry.mjs""}","2","1","[16,91]","[16,91]"
"h03-module-navigation","optimizer","2","read_file","{""path"":""registry.mjs""}","2","1","[22,94]","[22,94]"
"h03-module-navigation","full","2","list_files","{""path"":"".""}","2","1","[9,84]","[9,84]"
"h03-module-navigation","full","2","read_file","{""path"":""entry.mjs""}","2","1","[16,94]","[16,94]"
"h03-module-navigation","full","2","read_file","{""path"":""fixtures/routes.mjs""}","2","1","[19,104]","[19,104]"
"h03-module-navigation","full","2","read_file","{""path"":""legacy.mjs""}","2","1","[22,101]","[22,101]"
"h03-module-navigation","full","2","read_file","{""path"":""registry.mjs""}","2","1","[25,91]","[25,91]"
"h03-module-navigation","baseline","2","list_files","{""path"":"".""}","2","1","[7,85]","[7,85]"
"h03-module-navigation","baseline","2","read_file","{""path"":""entry.mjs""}","2","1","[14,95]","[14,95]"
"h03-module-navigation","baseline","2","read_file","{""path"":""registry.mjs""}","2","1","[17,98]","[17,98]"
"h03-module-navigation","baseline","2","read_file","{""path"":""legacy.mjs""}","2","1","[23,92]","[23,92]"
"h03-module-navigation","baseline","2","read_file","{""path"":""routes/dynamic.mjs""}","2","1","[33,78]","[33,78]"
"h04-issue-refactor","optimizer","2","list_files","{""path"":"".""}","2","1","[9,91]","[9,91]"
"h04-issue-refactor","optimizer","2","read_file","{""path"":""normalize.mjs""}","2","1","[16,81]","[16,81]"
"h04-issue-refactor","optimizer","2","read_file","{""path"":""consumers/list.mjs""}","2","1","[19,98]","[19,98]"
"h04-issue-refactor","optimizer","2","read_file","{""path"":""consumers/search.mjs""}","2","1","[22,84]","[22,84]"
"h04-issue-refactor","optimizer","2","read_file","{""path"":""consumers/activity.mjs""}","2","1","[25,101]","[25]"
"h04-issue-refactor","optimizer","2","read_file","{""path"":""serialize.mjs""}","2","1","[28,103]","[28]"
"h04-issue-refactor","full","2","read_file","{""path"":""normalize.mjs""}","2","1","[16,97]","[16,97]"
"h04-issue-refactor","full","2","read_file","{""path"":""consumers/list.mjs""}","2","1","[22,100]","[22,100]"
"h04-issue-refactor","full","2","read_file","{""path"":""consumers/search.mjs""}","2","1","[25,103]","[25,103]"
"h04-issue-refactor","full","2","read_file","{""path"":""consumers/activity.mjs""}","2","1","[28,106]","[28,106]"
"h04-issue-refactor","full","2","read_file","{""path"":""serialize.mjs""}","2","1","[31,109]","[31]"
"h04-issue-refactor","baseline","2","read_file","{""path"":""normalize.mjs""}","2","1","[14,95]","[14,95]"
"h04-issue-refactor","baseline","2","read_file","{""path"":""consumers/list.mjs""}","2","1","[20,98]","[20,98]"
"h04-issue-refactor","baseline","2","read_file","{""path"":""consumers/search.mjs""}","2","1","[23,101]","[23,101]"
"h04-issue-refactor","baseline","2","read_file","{""path"":""consumers/activity.mjs""}","2","1","[26,104]","[26,104]"
"h04-issue-refactor","baseline","2","read_file","{""path"":""serialize.mjs""}","2","1","[29,107]","[29]"
"h04-issue-refactor","context","2","read_file","{""path"":""normalize.mjs""}","2","1","[14,79]","[14,79]"
"h04-issue-refactor","context","2","read_file","{""path"":""consumers/list.mjs""}","2","1","[17,91]","[17]"
"h04-issue-refactor","context","2","read_file","{""path"":""consumers/search.mjs""}","2","1","[20,82]","[20,82]"
"h04-issue-refactor","context","2","read_file","{""path"":""consumers/activity.mjs""}","2","1","[23,85]","[23,85]"
"h04-issue-refactor","context","2","read_file","{""path"":""serialize.mjs""}","2","1","[26,88]","[26,88]"
"m01-report","full","2","read_file","{""path"":""parser.mjs""}","3","2","[16,39,70]","[16,39,70]"
"m01-report","full","2","read_file","{""path"":""report.mjs""}","2","1","[19,42]","[19,42]"
"m01-report","baseline","2","list_files","{""path"":"".""}","2","1","[7,47]","[7,47]"
"m01-report","baseline","2","read_file","{""path"":""parser.mjs""}","2","1","[14,37]","[14,37]"
"m01-report","baseline","2","read_file","{""path"":""report.mjs""}","2","1","[17,40]","[17,40]"
"m01-report","context","2","list_files","{""path"":"".""}","2","1","[7,47]","[7,47]"
"m01-report","context","2","read_file","{""path"":""parser.mjs""}","3","2","[14,37,68]","[14,37,68]"
"m01-report","context","2","read_file","{""path"":""report.mjs""}","2","1","[17,40]","[17,40]"
"m01-report","optimizer","2","read_file","{""path"":""parser.mjs""}","2","1","[16,39]","[16,39]"
"m01-report","optimizer","2","read_file","{""path"":""report.mjs""}","2","1","[19,42]","[19,42]"
"m02-options","baseline","2","list_files","{""path"":"".""}","2","1","[7,56]","[7,56]"
"m02-options","baseline","2","read_file","{""path"":""defaults.mjs""}","2","1","[14,43]","[14,43]"
"m02-options","baseline","2","read_file","{""path"":""formatter.mjs""}","2","1","[17,49]","[17,49]"
"m02-options","baseline","2","read_file","{""path"":""resolver.mjs""}","2","1","[20,46]","[20,46]"
