"taskId","variant","repeat","callId","name","path","errorCode","startSeq","endSeq","nextWorkerRequestSeq","nextSuccessfulWorkerResponseSeq","laterSameKeySuccessfulStartSeqs","laterSamePathSuccessfulStartSeqs","laterToolStartSeqs","correctionConclusion"
"b03-config","optimizer","2","call_00_oLVXutEIsbHq8FD0kOpw9966","write_file","/tmp/check.mjs","permission_denied","40","41","44","45","[]","[]","[47,54,61,68,75,82]","null"
"b03-config","optimizer","2","call_00_k07WbN8NOXkpsp11lQwQ3081","write_file","check.tmp.mjs","permission_denied","47","48","51","52","[]","[]","[54,61,68,75,82]","null"
"b03-config","optimizer","2","call_00_vnOFOwqdofvWSuGbGjEk4484","edit_file","public.test.mjs","permission_denied","54","55","58","59","[]","[]","[61,68,75,82]","null"
"f03-ranges","optimizer","2","call_00_y2CMp2kAQV1i9yZpxeub6969","write_file","verify.mjs","permission_denied","40","41","44","45","[]","[]","[47]","null"
"f03-ranges","full","2","call_00_Vuptg50eP23UgUONRtBS0911","write_file","verify.mjs","permission_denied","40","41","44","45","[]","[]","[47]","null"
"h01-config-pipeline","full","2","call_00_UWAqJVDpo0eVrHdCPz1c1861","edit_file","public.test.mjs","permission_denied","99","100","103","104","[]","[]","[106,109,119,122,125]","null"
"h01-config-pipeline","baseline","2","call_00_uJUGo0empUloBHjIrQP48801","write_file","src/file-config.mjs","permission_denied","65","66","69","70","[]","[]","[72,79,86,93,100,107,114,117,120]","null"
"h01-config-pipeline","baseline","2","call_00_WN1m7YqRJVm8WVLq3Pmv7093","edit_file","src/file-config.mjs","permission_denied","72","73","76","77","[]","[]","[79,86,93,100,107,114,117,120]","null"
"h01-config-pipeline","baseline","2","call_00_SZTNtWG7SFkUX6qafbQJ3836","edit_file","src/index.mjs","permission_denied","93","94","97","98","[]","[]","[100,107,114,117,120]","null"
"h01-config-pipeline","baseline","2","call_00_Zdt3Ux64aX3FZgqBtYlz0297","edit_file","src/defaults.mjs","permission_denied","100","101","104","105","[]","[]","[107,114,117,120]","null"
"h01-config-pipeline","context","2","call_00_axsLr2Oj1iEIVjXMtwxt7766","write_file","src/file-config.mjs","permission_denied","61","62","65","66","[]","[]","[68,75,78,85,92,102,105,108,111]","null"
"h01-config-pipeline","context","2","call_00_rjsugIX6anx6lZImPb933860","edit_file","src/file-config.mjs","permission_denied","68","69","72","73","[]","[]","[75,78,85,92,102,105,108,111]","null"
"h01-config-pipeline","context","2","call_00_ktsQJdacfWJZUWdKobuq3622","edit_file","src/index.mjs","permission_denied","85","86","89","90","[]","[]","[92,102,105,108,111]","null"
"h01-config-pipeline","optimizer","2","call_00_aKVsqcxKu0cSEpLGVmZy3348","write_file","edge.test.mjs","permission_denied","105","106","109","110","[]","[]","[112,119,126]","null"
"m01-report","full","2","call_00_jxzJVMZjHdaxU1JfKHBt4630","delete_file","__nonexistent__","permission_denied","49","50","53","54","[]","[]","[56,63,70]","null"
"m01-report","optimizer","2","call_00_PXtYSRtqXf0Ttn66ptQ67156","delete_file","__nonexistent__","permission_denied","49","50","53","54","[]","[]","[]","null"
"b03-config","baseline","3","call_00_bechBVBCkllsCO6Lmim18872","write_file","verify.mjs","permission_denied","49","50","53","54","[]","[]","[56,63,70]","null"
"b03-config","context","3","call_00_QW0SnmADBljRCVN7Z5Kq5985","write_file","verify.tmp.mjs","permission_denied","56","57","60","61","[]","[]","[63]","null"
"b03-config","optimizer","3","call_00_opU7hqZfTOaLlO9u873M0720","write_file","_check.mjs","permission_denied","61","62","65","66","[]","[]","[68,75,82]","null"
"b03-config","full","3","call_00_SibmN9BcTb15Q81UDwKK4341","write_file","check.mjs","permission_denied","47","48","51","52","[]","[]","[54,61]","null"
"h01-config-pipeline","baseline","3","call_00_oHXXz7SIvHOhGz8pZskk7198","write_file","src/file-config.mjs","permission_denied","61","62","65","66","[]","[92]","[68,75,82,89,92,99,106,113,116]","null"
"h01-config-pipeline","baseline","3","call_00_5rT3tThQuOU0FH1QYJyu5571","edit_file","src/file-config.mjs","permission_denied","68","69","72","73","[]","[92]","[75,82,89,92,99,106,113,116]","null"
"h01-config-pipeline","baseline","3","call_00_XgAE16rIys6ZIf5cC1DL2381","edit_file","src/file-config.mjs","permission_denied","99","100","103","104","[]","[]","[106,113,116]","null"
"h01-config-pipeline","context","3","call_00_vQAyY5QUjMO5pMuOy73u9399","write_file","src/file-config.mjs","permission_denied","61","62","65","66","[]","[]","[68,75,78,85,92,102,105,108,111]","null"
"h01-config-pipeline","context","3","call_00_3iiUbz9dSONf7KOKf1NZ8966","edit_file","src/file-config.mjs","permission_denied","68","69","72","73","[]","[]","[75,78,85,92,102,105,108,111]","null"
"h01-config-pipeline","optimizer","3","call_00_GWcFGctK2lbpZVm9N1cG1204","write_file","src/file-config.mjs","permission_denied","71","72","75","76","[]","[]","[78,85,92,99,106,113,120,127,134]","null"
"h01-config-pipeline","optimizer","3","call_00_VhOfadKXbzhxAt8fQef78562","edit_file","src/merge.mjs","edit_no_match","78","79","82","83","[]","[]","[85,92,99,106,113,120,127,134]","null"
"h01-config-pipeline","optimizer","3","call_00_SayqvUr2Uqz8g9K643Vp9299","edit_file","src/defaults.mjs","permission_denied","113","114","117","118","[]","[]","[120,127,134]","null"
"h01-config-pipeline","optimizer","3","call_00_YibQyjm3n9rWtohlBlRK8923","edit_file","src/index.mjs","permission_denied","120","121","124","125","[]","[134]","[127,134]","null"
"h01-config-pipeline","optimizer","3","call_00_TiEEa2MGszx35oz8ZfRP0849","edit_file","src/legacy.mjs","permission_denied","127","128","131","132","[]","[]","[134]","null"
"m01-report","full","3","call_00_1iHvO3f9yzrebn9JowtF7834","delete_file","/tmp/check.mjs","permission_denied","53","54","57","58","[]","[]","[60]","null"
"m02-options","full","3","call_00_ZE28hxnPSM9syeJKxXu47646","write_file","verify.mjs","permission_denied","45","46","49","50","[]","[]","[52,59,62,65,72]","null"
