"taskId","variant","repeat","path","previousStartSeq","currentStartSeq","previousCallId","currentCallId","previousOk","currentOk","successfulReadBack","comparableOutputs","sameVisibleOutput","previousOutputSha256","currentOutputSha256","interveningSuccessfulMutations"
"b03-config","baseline","1","config.mjs","7","35","call_00_HOMeF7n77p3tYsR4CSHZ0303","call_00_pUPP8Hc9m7RxHo5vueHn7856","true","true","true","true","false","123dfdc2781c0bd9c5129e10510d5984b37a44beb54c07e4e04f5f32dc3c5730","05cde4b5520358ec2633b161675ad1d484db5858510ec1e5fb5f45f29d51b951","[{""name"":""write_file"",""callId"":""call_00_0w251O02yDxQVEcPU8uR8671"",""startSeq"":28,""endSeq"":29}]"
"b03-config","baseline","1","config.mjs","35","49","call_00_pUPP8Hc9m7RxHo5vueHn7856","call_00_uiE0Tr4HP8DUzibuHE3N7705","true","true","true","true","false","05cde4b5520358ec2633b161675ad1d484db5858510ec1e5fb5f45f29d51b951","a2a053081406c4a23b807ce70c3c9f82cf1e5a841168a0f9afc3aaca60a328f3","[{""name"":""write_file"",""callId"":""call_00_NXc2MAgOHgGkYLqrqCnZ3115"",""startSeq"":42,""endSeq"":43}]"
"b03-config","context","1","config.mjs","7","35","call_00_O5JU9Sovess2pIBi4dwe4136","call_00_xtEG7zQPS0YuqmOu2fve8369","true","true","true","true","false","123dfdc2781c0bd9c5129e10510d5984b37a44beb54c07e4e04f5f32dc3c5730","6d375028b39a580e974acaa443ce216b9520dbd64438a8804bba93a2bcb55280","[{""name"":""write_file"",""callId"":""call_00_MPFzUMip7in7BWdBIn4C3200"",""startSeq"":28,""endSeq"":29}]"
"b03-config","context","1","config.mjs","35","49","call_00_xtEG7zQPS0YuqmOu2fve8369","call_00_A7A5z5bDpSdfdot2mXh85069","true","true","true","true","false","6d375028b39a580e974acaa443ce216b9520dbd64438a8804bba93a2bcb55280","4ddc8f6f58aa24eed413458ede35620f6ed8de26b60e736e98d17dd94f0e8c07","[{""name"":""edit_file"",""callId"":""call_00_soFKBJCZQBzhKOK7s2jU4650"",""startSeq"":42,""endSeq"":43}]"
"f01-tags","full","1","tags.mjs","16","33","call_00_Pr4WmEl2lJQeR2CI92Vy5027","call_00_Mydo9ZA63jU8NczrcEm85853","true","true","true","true","false","852fa85117b3195be444424da3017b666a8a41668f9d01992b15f9342f156bd8","c01bd123244a7794f5622263dd8dcb09b6781fb5ceffdd2d9e4d4af325d66c13","[{""name"":""write_file"",""callId"":""call_00_9ab2dZVFTq9XZTVMnqAx3668"",""startSeq"":26,""endSeq"":27}]"
"f01-tags","baseline","1","tags.mjs","14","31","call_00_QgbUBrUur3W5S0zbcCdx3117","call_00_OUkKHRXzLDnbsN1SBBNK1003","true","true","true","true","false","852fa85117b3195be444424da3017b666a8a41668f9d01992b15f9342f156bd8","c01bd123244a7794f5622263dd8dcb09b6781fb5ceffdd2d9e4d4af325d66c13","[{""name"":""write_file"",""callId"":""call_00_ReXxNtvTEm27aUCyERdB9697"",""startSeq"":24,""endSeq"":25}]"
"f01-tags","context","1","tags.mjs","14","31","call_00_dTU9F5Uz8JvdlGZxDkkb1859","call_00_9YP3Awnef9rSiCAQUH7P1806","true","true","true","true","false","852fa85117b3195be444424da3017b666a8a41668f9d01992b15f9342f156bd8","c01bd123244a7794f5622263dd8dcb09b6781fb5ceffdd2d9e4d4af325d66c13","[{""name"":""write_file"",""callId"":""call_00_58xbD7BXWqA0s6L495eO3800"",""startSeq"":24,""endSeq"":25}]"
"f01-tags","optimizer","1","tags.mjs","16","33","call_00_4VgEHRkS18YRLxphowtU1477","call_00_87soYPRBzCN0KF075M9u3464","true","true","true","true","false","852fa85117b3195be444424da3017b666a8a41668f9d01992b15f9342f156bd8","c01bd123244a7794f5622263dd8dcb09b6781fb5ceffdd2d9e4d4af325d66c13","[{""name"":""write_file"",""callId"":""call_00_inevYf6tZLVmk9t16CcA9412"",""startSeq"":26,""endSeq"":27}]"
"f02-pagination","baseline","1","pagination.mjs","7","21","call_00_mwwGLaodGU0s9uY6IA3T8129","call_00_V2jvAUrtldXKnjvtZFhz5063","true","true","true","true","false","3283af26194748acb21d30ed87c1a9bbb611ac2b2193d29e767c4aa74dcf534b","c54aff0ca3a64b4769c9dcf7e805ea5ba93acf4ecb03335650b092a9839a7940","[{""name"":""write_file"",""callId"":""call_00_hTgZFGsOGd2wj7zB39920660"",""startSeq"":14,""endSeq"":15}]"
"f03-ranges","context","1","ranges.mjs","14","31","call_00_xlQxwZsfZBvpW3rXtl8v6311","call_00_eimVMUUFf8rhwRdKnMZH9949","true","true","true","true","false","f43c1cafe156f86886a63252753837bfd8b57f18b315b6a984e6cf14c351f2b9","0287961783666ba3edd4a02ba21232668585698c0b39abe69f68f96e6f478d46","[{""name"":""write_file"",""callId"":""call_00_HOSH1zQgfPunQau8sc2Y0633"",""startSeq"":24,""endSeq"":25}]"
"f03-ranges","optimizer","1","ranges.mjs","16","33","call_00_wMRW9wzTxRtiybuKIyH09977","call_00_85X4n9HTC7kEnsnR4tVY1324","true","true","true","true","false","f43c1cafe156f86886a63252753837bfd8b57f18b315b6a984e6cf14c351f2b9","8ef6d528dde8a657b6fc0799b6228754624ca5a7987b03c7da5d93e110d58c35","[{""name"":""write_file"",""callId"":""call_00_YnyvLxNn5epNmVLHnssF2427"",""startSeq"":26,""endSeq"":27}]"
"f03-ranges","full","1","ranges.mjs","16","33","call_00_fauEWlJnaoQj7xoRnKlK4859","call_00_oYK288S7fVTA0V12Rlth7348","true","true","true","true","false","f43c1cafe156f86886a63252753837bfd8b57f18b315b6a984e6cf14c351f2b9","8ef6d528dde8a657b6fc0799b6228754624ca5a7987b03c7da5d93e110d58c35","[{""name"":""write_file"",""callId"":""call_00_tQhbv8FPzDmkxUsvA7ZC5646"",""startSeq"":26,""endSeq"":27}]"
"f03-ranges","full","1","public.test.mjs","19","47","call_01_rSPxI8TGrNEKT3TkbsCM1016","call_00_j9O6Y7a6QrppCqAOBVXa5155","true","true","true","true","true","be845efbdf58c5e0f038bf009b01072f90e5fbf05b6f1ab0deb444ba8864052b","be845efbdf58c5e0f038bf009b01072f90e5fbf05b6f1ab0deb444ba8864052b","[]"
"f03-ranges","baseline","1","ranges.mjs","14","31","call_00_mrBltJRhOJiqvZFyPK1t1993","call_00_M2VdclNGvMhMI5q0SH6I7519","true","true","true","true","false","f43c1cafe156f86886a63252753837bfd8b57f18b315b6a984e6cf14c351f2b9","65f5278217854d9a5d2dc8327a447b02eb96c2b246a7b0ce16b00df0d18e68cc","[{""name"":""write_file"",""callId"":""call_00_gUQash9964U2nbP9PrqF6682"",""startSeq"":24,""endSeq"":25}]"
"h01-config-pipeline","optimizer","1","src/index.mjs","16","85","call_00_1Psx8AZdnkKUXPNqehXX4846","call_00_Cl7wX4K91z4pJRvPV9cQ1721","true","true","true","true","true","c2bd8855d62db683dac459234b698a663e353afbe0223e6f72042498a0726ee6","c2bd8855d62db683dac459234b698a663e353afbe0223e6f72042498a0726ee6","[]"
"h01-config-pipeline","optimizer","1","src/merge.mjs","35","134","call_03_Wgu8QR4c9cSLPJd9sT0p7450","call_00_UQvDSqk00VO2LqChiwdQ0278","true","true","true","true","false","4aa593488bb78234db26dba2e478ed840907b5b9a3339f9fea386ebeb02e55d4","79393223f6b41ab845932833277d13d2797dd49f8ae1ba8faa96997c9c4a3908","[{""name"":""write_file"",""callId"":""call_00_JFvoxz9ZTXnz2EWqbFf03645"",""startSeq"":64,""endSeq"":65},{""name"":""edit_file"",""callId"":""call_00_SKnGijOfyPbxcmijqlTD2462"",""startSeq"":120,""endSeq"":121}]"
"h01-config-pipeline","full","1","src/index.mjs","16","92","call_00_57ds6UhLH2n2NJdmuSuW7540","call_00_bytdjPHJ2pzxzXGbaVVL0099","true","true","true","true","true","c2bd8855d62db683dac459234b698a663e353afbe0223e6f72042498a0726ee6","c2bd8855d62db683dac459234b698a663e353afbe0223e6f72042498a0726ee6","[]"
"h01-config-pipeline","full","1","src/merge.mjs","35","106","call_03_UsjDrHkSCGzUlwPUCMmN2033","call_00_0TOCA6RCVFyGjJzgj9zX6043","true","true","true","true","false","4aa593488bb78234db26dba2e478ed840907b5b9a3339f9fea386ebeb02e55d4","9165661510ef5f0e2451e8445291637b199ad2a92052d2cb8b64b65c1ad54517","[{""name"":""write_file"",""callId"":""call_00_IKknqzWV4Hl6OFWCcqZn0640"",""startSeq"":64,""endSeq"":65}]"
"h01-config-pipeline","full","1","src/env-config.mjs","32","109","call_02_UEnPFJZf77WlL4SEtc280961","call_01_LDfuSbBETQtq13pBgHZO9173","true","true","true","true","false","fe0eecff2b015b29b00d5e44520939211150093169d6c6cfb7748ee0e5545f44","80a1a328c0834116058aea730cec5040e3168c61e9e07ff3238e1e9ebcf02a75","[{""name"":""write_file"",""callId"":""call_00_LlpbkkjjNo5RwgdrvhhP8027"",""startSeq"":71,""endSeq"":72}]"
"h01-config-pipeline","full","1","src/validate.mjs","38","112","call_04_84jaa6XqQwGXMwdBiCHo1429","call_02_wpvRPiMbSyPcqDsV9INm5205","true","true","true","true","false","c7356ab18f692343d74a6059121ebef01dd81a95b7b9259895de0fb183d470b8","43ea8bdc6de1dbf9ec8b485ddb37405845db85814dfa14d8503264614466b24f","[{""name"":""write_file"",""callId"":""call_00_5xdmGkl1MqWuzXkt83Hk7305"",""startSeq"":78,""endSeq"":79}]"
"h01-config-pipeline","full","1","src/legacy.mjs","44","122","call_06_l8I7TfezN94B3lASE6573876","call_00_QGGs8mqmnKz8WgItee8p8820","true","true","true","true","true","84cb16119c34ada7be29ba94b93e44a79e945f140ea8ec791baaee117c3d54f2","84cb16119c34ada7be29ba94b93e44a79e945f140ea8ec791baaee117c3d54f2","[]"
"h01-config-pipeline","full","1","src/format.mjs","41","125","call_05_tCxIWY36AqX0o2LpO0yE9756","call_01_rTMVDq3LZTfvdU9LRVxt0739","true","true","true","true","true","563b9713ce52ff02b38e23cc6fa2a6d29310e3c2b28696877918c950dd630ba8","563b9713ce52ff02b38e23cc6fa2a6d29310e3c2b28696877918c950dd630ba8","[]"
"h01-config-pipeline","baseline","1","src/file-config.mjs","23","82","call_03_gMQIN7WP7bPoIBCUeZCe6671","call_00_RnWJCydiUOP9XUOBQMXi3168","true","true","true","true","true","f92ec1a8c0637835eb54496bb8ca6a195e1613aaba6d3db9d9943fd295855d63","f92ec1a8c0637835eb54496bb8ca6a195e1613aaba6d3db9d9943fd295855d63","[]"
"h01-config-pipeline","baseline","1","src/index.mjs","14","85","call_00_StzSoKtFufsb2NMZji8E9251","call_01_uLumIqP8RalLXhynYp2A4036","true","true","true","true","true","c2bd8855d62db683dac459234b698a663e353afbe0223e6f72042498a0726ee6","c2bd8855d62db683dac459234b698a663e353afbe0223e6f72042498a0726ee6","[]"
"h01-config-pipeline","baseline","1","src/merge.mjs","32","92","call_06_vNs9opiKyvsdk4syIlJX1585","call_00_jKh5QSeumfdrVQ2tXJtw8193","true","true","true","true","false","4aa593488bb78234db26dba2e478ed840907b5b9a3339f9fea386ebeb02e55d4","491dbafe305586299c918395b01bf8988169bb493dd291616604734c4e087963","[{""name"":""write_file"",""callId"":""call_00_7cBvLU65HU3trrWlURft3134"",""startSeq"":58,""endSeq"":59}]"
"h01-config-pipeline","baseline","1","src/env-config.mjs","20","99","call_02_rGCyvg3SN0Q77G7f0xto6277","call_00_KOXW2ab5XIH0ArmtVMHJ4509","true","true","true","true","false","fe0eecff2b015b29b00d5e44520939211150093169d6c6cfb7748ee0e5545f44","8f740efcafb2c33e8f2dc28f78df4851d8e87d83896e35e469c5bd96bfbacfdc","[{""name"":""write_file"",""callId"":""call_00_mhTdCgTpn6Arjv1LLTIf9026"",""startSeq"":72,""endSeq"":73}]"
"h01-config-pipeline","baseline","1","src/validate.mjs","35","102","call_07_tKaJEQIPXtTOhbBneRWl4198","call_01_Iy9DoaIp3OWVqvHApdM42155","true","true","true","true","false","c7356ab18f692343d74a6059121ebef01dd81a95b7b9259895de0fb183d470b8","43ea8bdc6de1dbf9ec8b485ddb37405845db85814dfa14d8503264614466b24f","[{""name"":""write_file"",""callId"":""call_01_7VBFQO23jHtRyCjFubsQ6747"",""startSeq"":75,""endSeq"":76}]"
"h01-config-pipeline","baseline","1","src/format.mjs","26","116","call_04_XwhoFs41fK4sWY6CEZcu8958","call_00_ILNZrl3A0GW10MiZQCOt0949","true","true","true","true","true","563b9713ce52ff02b38e23cc6fa2a6d29310e3c2b28696877918c950dd630ba8","563b9713ce52ff02b38e23cc6fa2a6d29310e3c2b28696877918c950dd630ba8","[]"
"h01-config-pipeline","context","1","src/merge.mjs","35","89","call_07_ErqAQfrSBsm966HDxaCe3842","call_00_7JFOV6Un0qXFUqHSKcXi3364","true","true","true","true","false","4aa593488bb78234db26dba2e478ed840907b5b9a3339f9fea386ebeb02e55d4","5e175c6ea3bf6c2259a5d22e1d45a44676a699a1f3f0aae910ffd1d1dc0898a9","[{""name"":""write_file"",""callId"":""call_00_V1HPztDFySLbPp2U1lBN1785"",""startSeq"":54,""endSeq"":55}]"
"h01-config-pipeline","context","1","src/validate.mjs","38","92","call_08_mfCU5abYf1O9ZPXaLNOC0597","call_01_57l5qoP34mhwx0QyyTzs3631","true","true","true","true","false","c7356ab18f692343d74a6059121ebef01dd81a95b7b9259895de0fb183d470b8","44537b8a7db604886d3490bc450c6a7d15d0ed8ec29c0729f5d404d1dc4fc604","[{""name"":""edit_file"",""callId"":""call_00_peORAEjVEQPVACk498fm3332"",""startSeq"":82,""endSeq"":83}]"
"h01-config-pipeline","context","1","src/index.mjs","14","109","call_00_sUq7JOX4jkoDUZnlAIRF7303","call_00_owuNHiNwIOnL4DhbKDZ97277","true","true","true","true","true","c2bd8855d62db683dac459234b698a663e353afbe0223e6f72042498a0726ee6","c2bd8855d62db683dac459234b698a663e353afbe0223e6f72042498a0726ee6","[]"
"h01-config-pipeline","context","1","src/env-config.mjs","23","112","call_03_UlKjbpE1oIwe02BrvEjd2959","call_01_oQaOSyNMF243t1KWStLp4746","true","true","true","true","false","fe0eecff2b015b29b00d5e44520939211150093169d6c6cfb7748ee0e5545f44","2a944496e8585d79e765663d7339d5069705cdad723ad47a64de5704bd515deb","[{""name"":""write_file"",""callId"":""call_00_OvUZjS0UpGR90tbyTlw35762"",""startSeq"":61,""endSeq"":62}]"
"h01-config-pipeline","context","1","src/defaults.mjs","20","115","call_02_kyYaw9P7Qh2B5Z9IZEbX4847","call_02_hGGvFrwtTorcVZRpdE8x4578","true","true","true","true","true","c712d430f49301c1df436f2513a492163e7fa95263a912a2df015ca7068093f2","c712d430f49301c1df436f2513a492163e7fa95263a912a2df015ca7068093f2","[]"
"h02-chunk-parser","full","1","src/index.mjs","16","85","call_00_3JDuoFRVUAStNyPq5FJg0456","call_01_CUt0TDFrTRZni49a817m8437","true","true","true","true","true","d171114dae474968b5a02010604a7c119471f09132187287c87f6cf6313c4743","d171114dae474968b5a02010604a7c119471f09132187287c87f6cf6313c4743","[]"
"h02-chunk-parser","full","1","src/tokenizer.mjs","26","92","call_00_NxIQZWodTVYrvCNK3PDK7368","call_00_cqrzxk6k1vhlvLKZRnnt2755","true","true","true","true","true","6890f5d3b91a30d016ebd63a01ebaac03612a2cb503607000c4a6c6362cafbc9","6890f5d3b91a30d016ebd63a01ebaac03612a2cb503607000c4a6c6362cafbc9","[]"
"h02-chunk-parser","full","1","src/consumers/read-items.mjs","29","95","call_01_V7NfNVRkmZ9J7CSrthSa5334","call_01_XipupLOLwN2dtkie8HWD2953","true","true","true","true","true","f40ee439a9af5cee16b7876fc6d18dd9506e2b485bc7f127fca3db6ef3bb4a54","f40ee439a9af5cee16b7876fc6d18dd9506e2b485bc7f127fca3db6ef3bb4a54","[]"
"h02-chunk-parser","full","1","src/consumers/count-items.mjs","32","98","call_02_UPTo3G6Y8xN7gjQdjEYu0737","call_02_qwRujqoo5PTrw59VfZ3Z9147","true","true","true","true","true","babc6cb2c362f1772ad9a6501d2778b72a9f9eeafcaef3432b0a61f779d868b4","babc6cb2c362f1772ad9a6501d2778b72a9f9eeafcaef3432b0a61f779d868b4","[]"
"h02-chunk-parser","full","1","src/assembler.mjs","42","108","call_01_idui3903qcdnMnl5hhU86874","call_00_Hr8eSCQF8d1G0URfvScX4533","true","true","true","true","true","c6ce1f5eb002b4fe2e8df119e8a78d7f7fda576fd7ec26bf126390f3be5054db","c6ce1f5eb002b4fe2e8df119e8a78d7f7fda576fd7ec26bf126390f3be5054db","[]"
"h02-chunk-parser","full","1","src/item-schema.mjs","45","111","call_02_T8NO2EIgKayHK54FagVW3846","call_01_07eI00ieQZC4NqIGQc0W2122","true","true","true","true","true","005bf9cadfdf57c7fa9c3b4dc4ea963d1c300b6d4f89563eda77db92070ea863","005bf9cadfdf57c7fa9c3b4dc4ea963d1c300b6d4f89563eda77db92070ea863","[]"
"h02-chunk-parser","full","1","src/escape.mjs","55","114","call_01_HAMNlL52pcKVGVlKguMP8063","call_02_eg9NdB5I8cngOkGcaHfJ5845","true","true","true","true","true","cad774a056dfcc772301cac367a86c5befbb2aff0afdb46a14e719958151fa2c","cad774a056dfcc772301cac367a86c5befbb2aff0afdb46a14e719958151fa2c","[]"
"h02-chunk-parser","full","1","src/line.mjs","52","117","call_00_S0jhOGYCCFYSJNUM3JDs9316","call_03_uw6v4dQTki8VPZHM7CSK9061","true","true","true","true","true","8b16d68c00ec7e58f87c5566dea8f3be62d5892bf65aa13ad1502cc83ba84c7c","8b16d68c00ec7e58f87c5566dea8f3be62d5892bf65aa13ad1502cc83ba84c7c","[]"
"h03-module-navigation","baseline","1","registry.mjs","17","82","call_01_0fUg9APZ1g7kpf2W82k58129","call_00_x0TZ0EixswfmdvdVti7I5993","true","true","true","true","false","dfe590a0eb455539b113defb58e8a1477f53a797dd495e6e92983ca89f9dae46","aa4e66d71dc29d645c09b3ba416d943b433805840fdf14b0e49b965da45e578d","[{""name"":""write_file"",""callId"":""call_00_Rdmi2JtnDcwsVWPTidtL7831"",""startSeq"":68,""endSeq"":69}]"
"h03-module-navigation","baseline","1","legacy.mjs","23","96","call_03_Plv9XFps49hyEc1dPuS65465","call_00_4riXZgtAYR8vMEIP80Xl5003","true","true","true","true","true","130a8e74eedb3b5fc146ae7b25d10f200c592ddb23ce1a59759393c4e76fc662","130a8e74eedb3b5fc146ae7b25d10f200c592ddb23ce1a59759393c4e76fc662","[]"
"h03-module-navigation","baseline","1","entry.mjs","14","99","call_00_24pQwEdh1pxsSSqF3sdj2624","call_01_wm9jIyRGU620AT7Vciyz2006","true","true","true","true","false","963afba4644456a94d69f02f71d86609c2008526ffc37a18dbf1629357cf41a0","3a98d6a8c81a230d85d36926bd954edcb671c7444189f891ca466cf6de4d0c08","[{""name"":""write_file"",""callId"":""call_00_xkSArNDng8UCW1zb2z1f9450"",""startSeq"":75,""endSeq"":76}]"
"h03-module-navigation","context","1","routes/dynamic.mjs","33","82","call_01_RubACBEW6A5J4j3Racxe6806","call_00_ZwGEEojkzuAcIo5SJBtU7025","true","true","true","true","true","d5a27bbdd2ea5679e23c3e43854fd11f8748f323252cdb78f8ebb0a6780de882","d5a27bbdd2ea5679e23c3e43854fd11f8748f323252cdb78f8ebb0a6780de882","[]"
"h03-module-navigation","context","1","legacy.mjs","23","96","call_03_DZ2pGC4mDCS03puKsBw49817","call_00_QMhRNeCSh942gbYAWqlI1453","true","true","true","true","true","130a8e74eedb3b5fc146ae7b25d10f200c592ddb23ce1a59759393c4e76fc662","130a8e74eedb3b5fc146ae7b25d10f200c592ddb23ce1a59759393c4e76fc662","[]"
"h03-module-navigation","context","1","entry.mjs","14","99","call_00_3Uw4M0ZbiZKOygDXuhOO7339","call_01_sMavunr5Y3JCzlHSTRse3624","true","true","true","true","false","963afba4644456a94d69f02f71d86609c2008526ffc37a18dbf1629357cf41a0","3a98d6a8c81a230d85d36926bd954edcb671c7444189f891ca466cf6de4d0c08","[{""name"":""write_file"",""callId"":""call_00_L0okKWEyAuZPSXYOynjh0184"",""startSeq"":75,""endSeq"":76}]"
"h03-module-navigation","context","1","registry.mjs","17","102","call_01_oq8kRHBdVJrFywLwvc6A0795","call_02_6ny8xR9mycM8gQnafePv7619","true","true","true","true","false","dfe590a0eb455539b113defb58e8a1477f53a797dd495e6e92983ca89f9dae46","9b5b57665e5926f1e104c5f3b41ea9fb110914dd192f314b2108b83b9ddb0c94","[{""name"":""write_file"",""callId"":""call_00_ARbDnKDN2j07s2QuNNa25777"",""startSeq"":68,""endSeq"":69}]"
"h03-module-navigation","optimizer","1","entry.mjs","16","84","call_00_bjJu2LAKiHN8xUhmq1423225","call_00_me9M7erhhIK8WxM9hksM8217","true","true","true","true","false","963afba4644456a94d69f02f71d86609c2008526ffc37a18dbf1629357cf41a0","3a98d6a8c81a230d85d36926bd954edcb671c7444189f891ca466cf6de4d0c08","[{""name"":""write_file"",""callId"":""call_00_erY7k1SnKSdfFGsKyAzU8934"",""startSeq"":77,""endSeq"":78}]"
"h03-module-navigation","optimizer","1","registry.mjs","25","87","call_03_xE3iRx4gKSEziFSx5tTu4915","call_01_XlX2vLohZYe8zgCEbAtM2685","true","true","true","true","false","dfe590a0eb455539b113defb58e8a1477f53a797dd495e6e92983ca89f9dae46","63941d80be6c496438353cc52b059aa33306de49136321789fb1b79793324367","[{""name"":""write_file"",""callId"":""call_00_N6ArtUxTDYxRCVoW1buO6303"",""startSeq"":70,""endSeq"":71}]"
"h03-module-navigation","optimizer","1","legacy.mjs","22","101","call_02_fDZU0wwLADrFDsFGkjGv8523","call_00_ErnOHBwdgBPrcpMFXPhA8347","true","true","true","true","true","130a8e74eedb3b5fc146ae7b25d10f200c592ddb23ce1a59759393c4e76fc662","130a8e74eedb3b5fc146ae7b25d10f200c592ddb23ce1a59759393c4e76fc662","[]"
"h03-module-navigation","optimizer","1","entry.mjs","84","108","call_00_me9M7erhhIK8WxM9hksM8217","call_00_bhMcGAULv4Cl2jATRVTA5268","true","true","true","true","true","3a98d6a8c81a230d85d36926bd954edcb671c7444189f891ca466cf6de4d0c08","3a98d6a8c81a230d85d36926bd954edcb671c7444189f891ca466cf6de4d0c08","[]"
