"taskId","suite","repeat","variant","passed","functionalPass","termination","failureReason","workerAttempts","workerDispatched","workerSuccessfulResponses","modelRequests","toolStarts","toolCalls","skippedToolStarts","toolErrors","exactRepeatCount","consecutiveRepeatCount","dispatchedExactRepeatCount","dispatchedConsecutiveRepeatCount","readBackCount","observationOnly","peakRequestChars","peakEstimatedInputTokens","thresholdRequests","eligibleCompactionRequests","inputTokens","outputTokens","knownInputTokens","knownOutputTokens","changedPaths","publicPassed","publicPassedTests","publicFailedTests","publicFailedNames","acceptancePassed","acceptancePassedTests","acceptanceFailedTests","acceptanceFailedNames","compactions","optimizerOutputs"
"b03-config","S","1","baseline","true","true","completed","null","8","8","8","8","7","7","0","0","2","0","2","0","2","0","19650","4770","0","0","17574","3094","17574","3094","config.mjs","true","3","0","","true","8","0","","0","0"
"b03-config","S","1","context","true","true","completed","null","8","8","8","8","7","7","0","0","2","0","2","0","2","0","15181","3652","0","0","16406","2110","16406","2110","config.mjs","true","3","0","","true","8","0","","0","0"
"f01-tags","S","1","full","true","true","completed","null","5","5","5","6","5","5","0","0","1","0","1","0","1","0","6563","1520","0","0","6399","790","6399","790","tags.mjs","true","3","0","","true","5","0","","0","1"
"f01-tags","S","1","baseline","true","true","completed","null","6","6","6","6","6","6","0","0","2","0","2","0","1","0","6274","1437","0","0","7159","1125","7159","1125","tags.mjs","true","3","0","","true","5","0","","0","0"
"f01-tags","S","1","context","true","true","completed","null","6","6","6","6","6","6","0","0","2","0","2","0","1","0","6274","1437","0","0","7159","915","7159","915","tags.mjs","true","3","0","","true","5","0","","0","0"
"f01-tags","S","1","optimizer","true","true","completed","null","5","5","5","6","5","5","0","0","1","0","1","0","1","0","6548","1516","0","0","6339","789","6339","789","tags.mjs","true","3","0","","true","5","0","","0","1"
"f02-pagination","S","1","baseline","true","true","completed","null","4","4","4","4","3","3","0","0","1","0","1","0","1","0","5258","1214","0","0","4276","566","4276","566","pagination.mjs","true","2","0","","true","4","0","","0","0"
"f02-pagination","S","1","context","true","true","completed","null","3","3","3","3","2","2","0","0","0","0","0","0","0","0","4180","955","0","0","2819","515","2819","515","pagination.mjs","true","2","0","","true","4","0","","0","0"
"f02-pagination","S","1","optimizer","true","true","completed","null","3","3","3","4","2","2","0","0","0","0","0","0","0","0","4997","1159","0","0","3682","655","3682","655","pagination.mjs","true","2","0","","true","4","0","","0","1"
"f02-pagination","S","1","full","true","true","completed","null","3","3","3","4","2","2","0","0","0","0","0","0","0","0","4988","1157","0","0","3663","661","3663","661","pagination.mjs","true","2","0","","true","4","0","","0","1"
"f03-ranges","S","1","context","true","true","completed","null","5","5","5","5","5","5","0","0","1","0","1","0","1","0","7702","1805","0","0","6712","1146","6712","1146","ranges.mjs","true","2","0","","true","5","0","","0","0"
"f03-ranges","S","1","optimizer","true","true","completed","null","5","5","5","6","5","5","0","0","1","0","1","0","1","0","7572","1772","0","0","7270","964","7270","964","ranges.mjs","true","2","0","","true","5","0","","0","1"
"f03-ranges","S","1","full","true","true","completed","null","8","8","8","9","8","8","0","1","3","0","3","0","2","0","10246","2409","0","0","15421","1831","15421","1831","ranges.mjs","true","2","0","","true","5","0","","0","1"
"f03-ranges","S","1","baseline","true","true","completed","null","5","5","5","5","5","5","0","0","1","0","1","0","1","0","7643","1790","0","0","6701","1116","6701","1116","ranges.mjs","true","2","0","","true","5","0","","0","0"
"h01-config-pipeline","H","1","optimizer","false","true","tool_limit","tool_limit","15","15","15","16","26","24","2","4","5","0","3","0","2","0","38991","9448","6","6","89255","6555","89255","6555","src/env-config.mjs;src/merge.mjs;src/validate.mjs","true","4","0","","true","10","0","","0","1"
"h01-config-pipeline","H","1","full","false","true","tool_limit","tool_limit","12","12","12","14","26","24","2","1","9","0","7","0","6","0","22105","5269","1","1","49889","2959","49889","2959","src/env-config.mjs;src/merge.mjs;src/validate.mjs","true","4","0","","true","10","0","","1","1"
"h01-config-pipeline","H","1","baseline","false","true","tool_limit","tool_limit","11","11","11","11","26","24","2","1","9","0","7","0","6","0","28950","6943","2","2","49624","3853","49624","3853","src/env-config.mjs;src/merge.mjs;src/validate.mjs","true","4","0","","true","10","0","","0","0"
"h01-config-pipeline","H","1","context","false","true","tool_limit","tool_limit","10","10","10","11","27","24","3","2","9","0","6","0","5","0","25251","6048","1","1","44324","3277","44324","3277","src/env-config.mjs;src/merge.mjs;src/validate.mjs","true","4","0","","true","10","0","","1","0"
"h02-chunk-parser","H","1","full","false","true","tool_limit","tool_limit","12","12","12","16","26","24","2","0","11","0","9","0","8","0","24543","5949","3","3","57909","6702","57909","6702","src/state.mjs","true","5","0","","true","9","0","","3","1"
"h02-chunk-parser","H","1","baseline","false","false","model_error","model_error","3","3","2","3","13","13","0","0","0","0","0","0","0","0","14601","3458","0","0","6500","4560","6500","4560","","false","3","2","CRLF split across chunks ends one record;doubled quotes unescape across chunks","false","4","5","every two-way chunk split matches whole input;quoted CRLF is preserved and outside CRLF is a delimiter;doubled quotes spanning chunks become one quote;open quote and bare CR have distinct errors;both consumers preserve quoted contents and count the same rows","0","0"
"h02-chunk-parser","H","1","context","false","false","model_error","model_error","3","3","2","3","13","13","0","0","0","0","0","0","0","0","14601","3458","0","0","6500","4560","6500","4560","","false","3","2","CRLF split across chunks ends one record;doubled quotes unescape across chunks","false","4","5","every two-way chunk split matches whole input;quoted CRLF is preserved and outside CRLF is a delimiter;doubled quotes spanning chunks become one quote;open quote and bare CR have distinct errors;both consumers preserve quoted contents and count the same rows","0","0"
"h02-chunk-parser","H","1","optimizer","false","false","model_error","model_error","4","4","3","5","14","14","0","0","0","0","0","0","0","0","18502","4423","0","0","12838","5433","12838","5433","","false","3","2","CRLF split across chunks ends one record;doubled quotes unescape across chunks","false","4","5","every two-way chunk split matches whole input;quoted CRLF is preserved and outside CRLF is a delimiter;doubled quotes spanning chunks become one quote;open quote and bare CR have distinct errors;both consumers preserve quoted contents and count the same rows","0","1"
"h03-module-navigation","H","1","baseline","true","true","completed","null","10","10","10","10","21","21","0","0","4","0","4","0","3","0","21686","5147","0","0","33143","2985","33143","2985","entry.mjs;registry.mjs","true","4","0","","true","8","0","","0","0"
"h03-module-navigation","H","1","context","true","true","completed","null","10","10","10","10","22","22","0","0","5","0","5","0","4","0","22804","5417","0","0","33174","2659","33174","2659","entry.mjs;registry.mjs","true","4","0","","true","8","0","","0","0"
"h03-module-navigation","H","1","optimizer","true","true","completed","null","11","11","11","12","23","23","0","0","6","0","6","0","5","0","27529","6588","1","1","45750","3436","45750","3436","entry.mjs;registry.mjs","true","4","0","","true","8","0","","0","1"
"h03-module-navigation","H","1","full","false","true","tool_limit","tool_limit","10","10","10","12","25","24","1","0","8","0","7","0","6","0","21400","5086","1","1","38895","3159","38895","3159","entry.mjs;registry.mjs","true","4","0","","true","8","0","","1","1"
"h04-issue-refactor","H","1","context","false","true","tool_limit","tool_limit","8","8","8","8","25","24","1","0","5","0","4","0","4","0","18724","4418","0","0","28494","1573","28494","1573","consumers/activity.mjs;consumers/list.mjs;consumers/search.mjs;normalize.mjs;serialize.mjs","true","3","0","","true","7","0","","0","0"
"h04-issue-refactor","H","1","optimizer","false","true","tool_limit","tool_limit","5","5","5","6","25","24","1","0","5","0","4","0","4","0","19040","4501","0","0","15969","1617","15969","1617","consumers/activity.mjs;consumers/list.mjs;consumers/search.mjs;normalize.mjs;serialize.mjs","true","3","0","","true","7","0","","0","1"
"h04-issue-refactor","H","1","full","false","true","tool_limit","tool_limit","8","8","8","9","25","24","1","0","5","0","4","0","4","0","19468","4604","0","0","30340","1975","30340","1975","consumers/activity.mjs;consumers/list.mjs;consumers/search.mjs;normalize.mjs;serialize.mjs","true","3","0","","true","7","0","","0","1"
"h04-issue-refactor","H","1","baseline","false","true","tool_limit","tool_limit","4","4","4","4","25","24","1","0","5","0","4","0","4","0","18414","4345","0","0","11308","1511","11308","1511","consumers/activity.mjs;consumers/list.mjs;consumers/search.mjs;normalize.mjs;serialize.mjs","true","3","0","","true","7","0","","0","0"
"m01-report","S","1","optimizer","false","false","completed","acceptance_test","6","6","6","7","9","9","0","0","3","0","3","0","2","0","14466","3458","0","0","15912","2504","15912","2504","parser.mjs;report.mjs","true","2","0","","false","4","1","overflow in row and aggregate is rejected","0","1"
"m01-report","S","1","full","false","false","completed","acceptance_test","6","6","6","7","8","8","0","0","2","0","2","0","1","0","12634","3009","0","0","14791","2140","14791","2140","parser.mjs;report.mjs","true","2","0","","false","4","1","overflow in row and aggregate is rejected","0","1"
"m01-report","S","1","baseline","false","false","completed","acceptance_test","8","8","8","8","11","11","0","0","4","0","4","0","3","0","18534","4454","0","0","23567","2596","23567","2596","parser.mjs;report.mjs","true","2","0","","false","4","1","overflow in row and aggregate is rejected","0","0"
"m01-report","S","1","context","false","false","completed","acceptance_test","7","7","7","7","10","10","0","1","3","0","3","0","2","0","16164","3872","0","0","18740","2849","18740","2849","parser.mjs;report.mjs","true","2","0","","false","4","1","overflow in row and aggregate is rejected","0","0"
"m02-options","S","1","full","true","true","completed","null","8","8","8","9","12","12","0","0","4","0","4","0","4","0","17289","4133","0","0","20081","2591","20081","2591","defaults.mjs;formatter.mjs;resolver.mjs","true","2","0","","true","4","0","","0","1"
"m02-options","S","1","baseline","true","true","completed","null","6","6","6","6","12","12","0","0","4","0","4","0","3","0","12672","2981","0","0","12255","2025","12255","2025","defaults.mjs;formatter.mjs;resolver.mjs","true","2","0","","true","4","0","","0","0"
"m02-options","S","1","context","false","false","completed","acceptance_test","5","5","5","5","11","11","0","0","3","0","3","0","3","0","12122","2854","0","0","8953","1489","8953","1489","defaults.mjs;formatter.mjs;resolver.mjs","true","2","0","","false","3","1","invalid overrides and values use specified errors","0","0"
"m02-options","S","1","optimizer","true","true","completed","null","6","6","6","7","12","12","0","0","4","0","4","0","3","0","14175","3357","0","0","14051","1990","14051","1990","defaults.mjs;formatter.mjs;resolver.mjs","true","2","0","","true","4","0","","0","1"
"b01-normalize","S","2","context","true","true","completed","null","6","6","6","6","5","5","0","0","1","0","1","0","1","0","5188","1175","0","0","6133","510","6133","510","normalize.mjs","true","3","0","","true","5","0","","0","0"
"b01-normalize","S","2","optimizer","true","true","completed","null","4","4","4","5","3","3","0","0","1","0","1","0","1","0","4339","984","0","0","4042","541","4042","541","normalize.mjs","true","3","0","","true","5","0","","0","1"
"b01-normalize","S","2","full","true","true","completed","null","4","4","4","5","3","3","0","0","1","0","1","0","1","0","4364","990","0","0","4047","539","4047","539","normalize.mjs","true","3","0","","true","5","0","","0","1"
"b01-normalize","S","2","baseline","true","true","completed","null","6","6","6","6","5","5","0","0","1","0","1","0","1","0","5469","1245","0","0","6243","568","6243","568","normalize.mjs","true","3","0","","true","5","0","","0","0"
"b02-counter","S","2","optimizer","true","true","completed","null","3","3","3","4","2","2","0","0","0","0","0","0","0","0","4807","1111","0","0","3388","573","3388","573","counter.mjs","true","3","0","","true","5","0","","0","1"
"b02-counter","S","2","full","true","true","completed","null","4","4","4","5","4","4","0","0","0","0","0","0","0","0","6295","1464","0","0","5281","667","5281","667","counter.mjs","true","3","0","","true","5","0","","0","1"
"b02-counter","S","2","baseline","true","true","completed","null","4","4","4","4","4","4","0","0","0","0","0","0","0","0","5602","1290","0","0","4475","523","4475","523","counter.mjs","true","3","0","","true","5","0","","0","0"
"b02-counter","S","2","context","true","true","completed","null","6","6","6","6","6","6","0","0","2","0","2","0","1","0","6993","1617","0","0","8002","828","8002","828","counter.mjs","true","3","0","","true","5","0","","0","0"
"b03-config","S","2","full","true","true","completed","null","12","12","12","14","12","12","0","2","4","0","4","0","2","0","24417","5921","1","1","44152","4777","44152","4777","config.mjs","true","3","0","","true","8","0","","1","1"
"b03-config","S","2","baseline","true","true","completed","null","8","8","8","8","7","7","0","0","2","0","2","0","2","0","14606","3509","0","0","15306","1896","15306","1896","config.mjs","true","3","0","","true","8","0","","0","0"
"b03-config","S","2","context","true","true","completed","null","10","10","10","10","9","9","0","0","3","0","3","0","3","0","19326","4668","0","0","25714","2879","25714","2879","config.mjs","true","3","0","","true","8","0","","0","0"
"b03-config","S","2","optimizer","true","true","completed","null","12","12","12","13","12","12","0","3","4","0","4","0","3","0","32700","7981","3","3","54546","6286","54546","6286","config.mjs","true","3","0","","true","8","0","","0","1"
"f01-tags","S","2","baseline","true","true","completed","null","6","6","6","6","6","6","0","0","2","0","2","0","1","0","6274","1437","0","0","7159","1079","7159","1079","tags.mjs","true","3","0","","true","5","0","","0","0"
"f01-tags","S","2","context","true","true","completed","null","6","6","6","6","6","6","0","0","2","0","2","0","1","0","6274","1437","0","0","7159","977","7159","977","tags.mjs","true","3","0","","true","5","0","","0","0"
"f01-tags","S","2","optimizer","true","true","completed","null","5","5","5","6","5","5","0","0","1","0","1","0","1","0","6969","1622","0","0","6577","1047","6577","1047","tags.mjs","true","3","0","","true","5","0","","0","1"
"f01-tags","S","2","full","true","true","completed","null","5","5","5","6","5","5","0","0","1","0","1","0","1","0","6583","1525","0","0","6403","798","6403","798","tags.mjs","true","3","0","","true","5","0","","0","1"
"f02-pagination","S","2","context","true","true","completed","null","4","4","4","4","3","3","0","0","1","0","1","0","1","0","5258","1214","0","0","4276","566","4276","566","pagination.mjs","true","2","0","","true","4","0","","0","0"
"f02-pagination","S","2","optimizer","true","true","completed","null","4","4","4","5","4","4","0","0","0","0","0","0","0","0","6159","1430","0","0","5463","747","5463","747","pagination.mjs","true","2","0","","true","4","0","","0","1"
"f02-pagination","S","2","full","true","true","completed","null","4","4","4","5","4","4","0","0","0","0","0","0","0","0","6162","1430","0","0","5463","748","5463","748","pagination.mjs","true","2","0","","true","4","0","","0","1"
"f02-pagination","S","2","baseline","true","true","completed","null","4","4","4","4","3","3","0","0","1","0","1","0","1","0","5254","1213","0","0","4276","609","4276","609","pagination.mjs","true","2","0","","true","4","0","","0","0"
"f03-ranges","S","2","optimizer","true","true","completed","null","7","7","7","8","7","7","0","1","2","0","2","0","1","0","9755","2297","0","0","12749","2067","12749","2067","ranges.mjs","true","2","0","","true","5","0","","0","1"
"f03-ranges","S","2","full","true","true","completed","null","7","7","7","8","7","7","0","1","2","0","2","0","1","0","10304","2434","0","0","13264","2025","13264","2025","ranges.mjs","true","2","0","","true","5","0","","0","1"
"f03-ranges","S","2","baseline","true","true","completed","null","4","4","4","4","3","3","0","0","1","0","1","0","1","0","6052","1412","0","0","4732","839","4732","839","ranges.mjs","true","2","0","","true","5","0","","0","0"
"f03-ranges","S","2","context","true","true","completed","null","5","5","5","5","5","5","0","0","1","0","1","0","1","0","6829","1587","0","0","6263","865","6263","865","ranges.mjs","true","2","0","","true","5","0","","0","0"
"h01-config-pipeline","H","2","full","false","true","tool_limit","tool_limit","12","12","12","14","25","24","1","1","8","0","7","0","7","0","21797","5192","1","1","49496","2952","49496","2952","src/env-config.mjs;src/merge.mjs;src/validate.mjs","true","4","0","","true","10","0","","1","1"
"h01-config-pipeline","H","2","baseline","false","true","tool_limit","tool_limit","13","13","13","13","25","24","1","4","4","0","3","0","3","0","32514","7822","2","2","62035","4111","62035","4111","src/env-config.mjs;src/merge.mjs;src/validate.mjs","true","4","0","","true","10","0","","0","0"
"h01-config-pipeline","H","2","context","false","true","tool_limit","tool_limit","9","9","9","10","26","24","2","3","6","0","4","0","4","0","24538","5881","1","1","38227","3901","38227","3901","src/env-config.mjs;src/merge.mjs;src/validate.mjs","true","4","0","","true","10","0","","1","0"
"h01-config-pipeline","H","2","optimizer","false","true","tool_limit","tool_limit","13","13","13","14","27","24","3","1","10","0","7","0","6","0","32933","7936","3","3","61850","4171","61850","4171","src/env-config.mjs;src/merge.mjs;src/validate.mjs","true","4","0","","true","10","0","","0","1"
"h02-chunk-parser","H","2","baseline","false","true","tool_limit","tool_limit","10","10","10","10","28","24","4","0","12","0","8","0","7","0","41655","10130","7","5","70151","6537","70151","6537","src/line.mjs;src/state.mjs","true","5","0","","true","9","0","","0","0"
"h02-chunk-parser","H","2","context","false","false","model_error","model_error","3","3","2","3","13","13","0","0","0","0","0","0","0","0","14601","3458","0","0","6500","4560","6500","4560","","false","3","2","CRLF split across chunks ends one record;doubled quotes unescape across chunks","false","4","5","every two-way chunk split matches whole input;quoted CRLF is preserved and outside CRLF is a delimiter;doubled quotes spanning chunks become one quote;open quote and bare CR have distinct errors;both consumers preserve quoted contents and count the same rows","0","0"
"h02-chunk-parser","H","2","optimizer","false","false","model_error","model_error","6","6","5","7","11","11","0","0","0","0","0","0","0","0","13935","3306","0","0","15094","4556","15094","4556","","false","3","2","CRLF split across chunks ends one record;doubled quotes unescape across chunks","false","4","5","every two-way chunk split matches whole input;quoted CRLF is preserved and outside CRLF is a delimiter;doubled quotes spanning chunks become one quote;open quote and bare CR have distinct errors;both consumers preserve quoted contents and count the same rows","0","1"
"h02-chunk-parser","H","2","full","false","false","model_error","model_error","6","6","5","7","11","11","0","0","0","0","0","0","0","0","13935","3306","0","0","15094","4556","15094","4556","","false","3","2","CRLF split across chunks ends one record;doubled quotes unescape across chunks","false","4","5","every two-way chunk split matches whole input;quoted CRLF is preserved and outside CRLF is a delimiter;doubled quotes spanning chunks become one quote;open quote and bare CR have distinct errors;both consumers preserve quoted contents and count the same rows","0","1"
"h03-module-navigation","H","2","context","true","true","completed","null","10","10","10","10","22","22","0","0","5","0","5","0","4","0","24144","5752","0","0","34610","2956","34610","2956","entry.mjs;registry.mjs","true","4","0","","true","8","0","","0","0"
"h03-module-navigation","H","2","optimizer","true","true","completed","null","10","10","10","11","21","21","0","0","4","0","4","0","2","0","24747","5912","0","0","38432","3259","38432","3259","entry.mjs;registry.mjs","true","4","0","","true","8","0","","0","1"
"h03-module-navigation","H","2","full","true","true","completed","null","10","10","10","11","22","22","0","0","5","0","5","0","4","0","25626","6122","0","0","38040","3183","38040","3183","entry.mjs;registry.mjs","true","4","0","","true","8","0","","0","1"
"h03-module-navigation","H","2","baseline","true","true","completed","null","9","9","9","9","22","22","0","0","5","0","5","0","4","0","22038","5227","0","0","28828","2573","28828","2573","entry.mjs;registry.mjs","true","4","0","","true","8","0","","0","0"
"h04-issue-refactor","H","2","optimizer","false","true","tool_limit","tool_limit","6","6","6","7","26","24","2","0","6","0","4","0","3","0","21817","5166","0","0","23275","2717","23275","2717","consumers/activity.mjs;consumers/list.mjs;consumers/search.mjs;normalize.mjs;serialize.mjs","true","3","0","","true","7","0","","0","1"
"h04-issue-refactor","H","2","full","false","true","tool_limit","tool_limit","8","8","8","9","25","24","1","0","5","0","4","0","4","0","19298","4561","0","0","30183","2055","30183","2055","consumers/activity.mjs;consumers/list.mjs;consumers/search.mjs;normalize.mjs;serialize.mjs","true","3","0","","true","7","0","","0","1"
"h04-issue-refactor","H","2","baseline","false","true","tool_limit","tool_limit","8","8","8","8","25","24","1","0","5","0","4","0","4","0","19037","4496","0","0","28734","1638","28734","1638","consumers/activity.mjs;consumers/list.mjs;consumers/search.mjs;normalize.mjs;serialize.mjs","true","3","0","","true","7","0","","0","0"
"h04-issue-refactor","H","2","context","false","true","tool_limit","tool_limit","4","4","4","4","25","24","1","0","5","0","4","0","4","0","18224","4298","0","0","11266","1469","11266","1469","consumers/activity.mjs;consumers/list.mjs;consumers/search.mjs;normalize.mjs;serialize.mjs","true","3","0","","true","7","0","","0","0"
"m01-report","S","2","full","false","false","completed","acceptance_test","9","9","9","10","12","12","0","1","3","0","3","0","3","0","20714","4988","0","0","32138","3088","32138","3088","parser.mjs;report.mjs","true","2","0","","false","4","1","overflow in row and aggregate is rejected","0","1"
"m01-report","S","2","baseline","false","false","completed","acceptance_test","6","6","6","6","9","9","0","0","3","0","3","0","2","0","13853","3304","0","0","13717","2225","13717","2225","parser.mjs;report.mjs","true","2","0","","false","4","1","overflow in row and aggregate is rejected","0","0"
"m01-report","S","2","context","false","false","completed","acceptance_test","9","9","9","9","12","12","0","0","4","0","4","0","3","0","19433","4668","0","0","28806","2725","28806","2725","parser.mjs;report.mjs","true","2","0","","false","4","1","overflow in row and aggregate is rejected","0","0"
"m01-report","S","2","optimizer","false","false","completed","acceptance_test","6","6","6","7","9","9","0","1","2","0","2","0","2","0","15412","3694","0","0","16375","2476","16375","2476","parser.mjs;report.mjs","true","2","0","","false","4","1","overflow in row and aggregate is rejected","0","1"
"m02-options","S","2","baseline","true","true","completed","null","6","6","6","6","12","12","0","0","4","0","4","0","3","0","12672","2981","0","0","12255","1867","12255","1867","defaults.mjs;formatter.mjs;resolver.mjs","true","2","0","","true","4","0","","0","0"
"m02-options","S","2","context","true","true","completed","null","7","7","7","7","13","13","0","0","5","0","5","0","4","0","15438","3662","0","0","16298","2041","16298","2041","defaults.mjs;formatter.mjs;resolver.mjs","true","2","0","","true","4","0","","0","0"
"m02-options","S","2","optimizer","true","true","completed","null","7","7","7","8","12","12","0","0","4","0","4","0","3","0","14216","3366","0","0","16177","1845","16177","1845","defaults.mjs;formatter.mjs;resolver.mjs","true","2","0","","true","4","0","","0","1"
"m02-options","S","2","full","true","true","completed","null","5","5","5","6","11","11","0","0","3","0","3","0","3","0","13611","3227","0","0","11108","1712","11108","1712","defaults.mjs;formatter.mjs;resolver.mjs","true","2","0","","true","4","0","","0","1"
"b01-normalize","S","3","optimizer","true","true","completed","null","5","5","5","6","5","5","0","0","1","0","1","0","1","0","5663","1295","0","0","5843","676","5843","676","normalize.mjs","true","3","0","","true","5","0","","0","1"
"b01-normalize","S","3","full","true","true","completed","null","5","5","5","6","5","5","0","0","1","0","1","0","1","0","5491","1252","0","0","5795","560","5795","560","normalize.mjs","true","3","0","","true","5","0","","0","1"
"b01-normalize","S","3","baseline","true","true","completed","null","4","4","4","4","3","3","0","0","1","0","1","0","1","0","3816","853","0","0","3437","418","3437","418","normalize.mjs","true","3","0","","true","5","0","","0","0"
"b01-normalize","S","3","context","true","true","completed","null","4","4","4","4","3","3","0","0","1","0","1","0","1","0","3816","853","0","0","3437","447","3437","447","normalize.mjs","true","3","0","","true","5","0","","0","0"
"b02-counter","S","3","full","true","true","completed","null","4","4","4","5","4","4","0","0","0","0","0","0","0","0","6235","1449","0","0","5076","612","5076","612","counter.mjs","true","3","0","","true","5","0","","0","1"
"b02-counter","S","3","baseline","true","true","completed","null","6","6","6","6","5","5","0","0","1","0","1","0","1","0","6730","1561","0","0","7267","669","7267","669","counter.mjs","true","3","0","","true","5","0","","0","0"
"b02-counter","S","3","context","true","true","completed","null","6","6","6","6","6","6","0","0","2","0","2","0","1","0","6993","1617","0","0","8002","887","8002","887","counter.mjs","true","3","0","","true","5","0","","0","0"
"b02-counter","S","3","optimizer","true","true","completed","null","4","4","4","5","4","4","0","0","0","0","0","0","0","0","6240","1450","0","0","5246","617","5246","617","counter.mjs","true","3","0","","true","5","0","","0","1"
"b03-config","S","3","baseline","true","true","completed","null","11","11","11","11","10","10","0","1","4","0","4","0","3","0","24216","5880","0","0","32038","4096","32038","4096","config.mjs","true","3","0","","true","8","0","","0","0"
"b03-config","S","3","context","true","true","completed","null","10","10","10","10","9","9","0","1","3","0","3","0","3","0","21949","5323","0","0","25888","3409","25888","3409","config.mjs","true","3","0","","true","8","0","","0","0"
"b03-config","S","3","optimizer","true","true","completed","null","12","12","12","13","12","12","0","1","5","0","5","0","4","0","27178","6600","1","1","41506","4217","41506","4217","config.mjs","true","3","0","","true","8","0","","0","1"
"b03-config","S","3","full","true","true","completed","null","9","9","9","10","9","9","0","1","3","0","3","0","2","0","19070","4605","0","0","25868","3575","25868","3575","config.mjs","true","3","0","","true","8","0","","0","1"
"f01-tags","S","3","context","true","true","completed","null","5","5","5","5","5","5","0","0","1","0","1","0","1","0","5839","1339","0","0","5495","719","5495","719","tags.mjs","true","3","0","","true","5","0","","0","0"
"f01-tags","S","3","optimizer","true","true","completed","null","5","5","5","6","5","5","0","0","1","0","1","0","1","0","6589","1527","0","0","6393","834","6393","834","tags.mjs","true","3","0","","true","5","0","","0","1"
"f01-tags","S","3","full","true","true","completed","null","5","5","5","6","5","5","0","0","1","0","1","0","1","0","6626","1536","0","0","6410","845","6410","845","tags.mjs","true","3","0","","true","5","0","","0","1"
"f01-tags","S","3","baseline","true","true","completed","null","6","6","6","6","6","6","0","0","2","0","2","0","1","0","6274","1437","0","0","7159","1129","7159","1129","tags.mjs","true","3","0","","true","5","0","","0","0"
"f02-pagination","S","3","optimizer","true","true","completed","null","4","4","4","5","4","4","0","0","0","0","0","0","0","0","6174","1433","0","0","5477","745","5477","745","pagination.mjs","true","2","0","","true","4","0","","0","1"
"f02-pagination","S","3","full","true","true","completed","null","5","5","5","6","5","5","0","0","1","0","1","0","1","0","7235","1688","0","0","7298","938","7298","938","pagination.mjs","true","2","0","","true","4","0","","0","1"
"f02-pagination","S","3","baseline","true","true","completed","null","4","4","4","4","3","3","0","0","1","0","1","0","1","0","5258","1214","0","0","4276","639","4276","639","pagination.mjs","true","2","0","","true","4","0","","0","0"
"f02-pagination","S","3","context","true","true","completed","null","3","3","3","3","2","2","0","0","0","0","0","0","0","0","4182","955","0","0","2819","487","2819","487","pagination.mjs","true","2","0","","true","4","0","","0","0"
